date, pm25, pm10, o3, no2, so2, co
2025/5/1, 69, 23, 46, 9, 3, 4
2025/5/2, 56, 18, 41, 12, 3, 4
2025/5/3, 47, 33, 64, 10, 3, 4
2025/5/4, 62, 27, 40, 12, 3, 4
2025/5/5, 63, 19, 47, 10, 3, 4
2025/5/6, 45, 33, 52, 18, 4, 5
2025/5/7, 68, 52, 70, 16, 3, 5
2025/5/8, 90, 67, 46, 17, 4, 6
2025/5/9, 95, , , , , 
2025/4/1, 111, 50, 53, 30, 3, 6
2025/4/2, 106, 37, 50, 16, 3, 5
2025/4/3, 95, 40, 63, 22, 3, 5
2025/4/4, 101, 27, 39, 17, 3, 6
2025/4/5, 75, 34, 53, 12, 3, 5
2025/4/6, 76, 50, 73, 20, 4, 6
2025/4/7, 93, 58, 73, 13, 3, 6
2025/4/8, 98, 45, 51, 25, 3, 6
2025/4/9, 84, 45, 56, 21, 3, 6
2025/4/10, 101, 49, 66, 28, 3, 6
2025/4/11, 111, 35, 56, 22, 3, 5
2025/4/12, 81, 37, 36, 7, 2, 3
2025/4/13, 39, 16, 33, 14, 3, 4
2025/4/14, 43, 23, 44, 18, 3, 5
2025/4/15, 59, 42, 74, 22, 3, 6
2025/4/16, 87, 53, 74, 16, 3, 5
2025/4/17, 87, 63, 74, 17, 3, 6
2025/4/18, 113, 36, 38, 12, 2, 5
2025/4/19, 77, 21, 58, 8, 2, 5
2025/4/20, 58, 27, 60, 17, 2, 6
2025/4/21, 62, 18, 30, 16, 2, 6
2025/4/22, 54, 16, 62, 10, 2, 4
2025/4/23, 32, 40, 61, 14, 3, 4
2025/4/24, 80, 50, 45, 10, 4, 4
2025/4/25, 91, 37, 56, 14, 4, 4
2025/4/26, 60, 29, 52, 12, 4, 4
2025/4/27, 52, 36, 51, 11, 4, 4
2025/4/28, 59, 35, 61, 15, 4, 4
2025/4/29, 76, 41, 69, 20, 4, 5
2025/4/30, 78, 31, 43, 16, 3, 5
2025/1/1, 76, 35, 29, 25, 4, 6
2025/1/2, 71, 25, 22, 21, 4, 5
2025/1/3, 58, 30, 22, 23, 4, 6
2025/1/4, 69, 34, 14, 26, 3, 6
2025/1/5, 88, 47, 28, 16, 3, 7
2025/1/6, 113, 26, 26, 14, 4, 5
2025/1/7, 55, 26, 26, 20, 4, 6
2025/1/8, 59, 27, 29, 7, 4, 4
2025/1/9, 37, 26, 18, 25, 4, 5
2025/1/10, 57, 30, 16, 30, 4, 6
2025/1/11, 73, 39, 21, 32, 4, 7
2025/1/12, 100, 49, 13, 36, 4, 9
2025/1/13, 126, 52, 29, 29, 4, 8
2025/1/14, 130, 29, 27, 10, 4, 5
2025/1/15, 45, 29, 14, 28, 4, 6
2025/1/16, 65, 51, 11, 32, 4, 8
2025/1/17, 111, 47, 14, 41, 4, 10
2025/1/18, 101, 49, 26, 37, 4, 9
2025/1/19, 115, 68, 26, 42, 4, 10
2025/1/20, 158, 83, 11, 51, 4, 12
2025/1/21, 178, 70, 23, 42, 4, 9
2025/1/22, 164, 48, 21, 40, 4, 8
2025/1/23, 120, 36, 25, 35, 4, 7
2025/1/24, 79, 13, 33, 17, 3, 5
2025/1/25, 38, 10, 31, 14, 3, 4
2025/1/26, 32, 34, 29, 10, 3, 5
2025/1/27, 64, 24, 32, 11, 3, 5
2025/1/28, 69, 24, 33, 11, 4, 5
2025/1/29, 66, 18, 31, 17, 4, 5
2025/1/30, 55, 28, 11, 29, 4, 6
2025/1/31, 82, 41, 24, 30, 3, 6
2025/2/1, 110, 33, 28, 23, 4, 6
2025/2/2, 88, 28, 33, 8, 4, 4
2025/2/3, 71, 18, 29, 8, 4, 3
2025/2/4, 52, 17, 31, 12, 4, 4
2025/2/5, 44, 21, 25, 26, 5, 5
2025/2/6, 62, 29, 32, 16, 4, 4
2025/2/7, 63, 24, 29, 11, 4, 4
2025/2/8, 50, 25, 30, 19, 4, 6
2025/2/9, 66, 25, 27, 27, 4, 7
2025/2/10, 74, 40, 31, 35, 4, 8
2025/2/11, 103, 37, 31, 34, 4, 6
2025/2/12, 99, 35, 28, 20, 4, 4
2025/2/13, 48, 52, 31, 37, 5, 7
2025/2/14, 108, 57, 32, 35, 4, 7
2025/2/15, 140, 61, 43, 25, 3, 7
2025/2/16, 151, 34, 32, 10, 4, 4
2025/2/17, 50, 22, 33, 9, 4, 4
2025/2/18, 49, 24, 32, 10, 4, 4
2025/2/19, 52, 25, 33, 16, 4, 5
2025/2/20, 55, 30, 34, 16, 4, 5
2025/2/21, 66, 29, 34, 12, 5, 4
2025/2/22, 69, 30, 36, 9, 4, 4
2025/2/23, 66, 28, 34, 19, 5, 5
2025/2/24, 65, 31, 37, 27, 4, 6
2025/2/25, 74, 55, 37, 19, 4, 6
2025/2/26, 105, 38, 32, 38, 5, 6
2025/2/27, 67, 47, 28, 48, 5, 7
2025/2/28, 109, 56, 24, 39, 4, 7
2025/3/1, 151, 42, 38, 21, 3, 6
2025/3/2, 101, 11, 36, 8, 3, 3
2025/3/3, 32, 9, 36, 11, 3, 3
2025/3/4, 28, 8, 34, 12, 3, 4
2025/3/5, 22, 39, 41, 20, 4, 6
