date, pm25, pm10, o3, no2, so2, co
2025/5/1, 65, 19, 46, 5, 2, 2
2025/5/2, 54, 14, 43, 7, 2, 2
2025/5/3, 48, 27, 63, 7, 2, 3
2025/5/4, 55, 24, 41, 8, 2, 3
2025/5/5, 60, 17, 47, 5, 2, 2
2025/5/6, 45, 27, 51, 10, 2, 3
2025/5/7, 62, 41, 73, 10, 2, 2
2025/5/8, 70, 65, 35, 9, 2, 3
2025/5/9, 84, , , , , 
2025/4/1, 105, 42, 55, 19, 3, 3
2025/4/2, 93, 34, 50, 13, 2, 3
2025/4/3, 82, 32, 55, 17, 3, 3
2025/4/4, 82, 23, 33, 15, 2, 3
2025/4/5, 68, 27, 46, 9, 3, 3
2025/4/6, 64, 49, 74, 16, 3, 4
2025/4/7, 92, 52, 66, 8, 2, 3
2025/4/8, 96, 40, 48, 19, 3, 4
2025/4/9, 83, 37, 57, 11, 3, 4
2025/4/10, 87, 43, 59, 18, 3, 4
2025/4/11, 100, 30, 49, 13, 3, 3
2025/4/12, 72, 32, 35, 6, 2, 2
2025/4/13, 38, 14, 31, 11, 2, 2
2025/4/14, 38, 19, 41, 12, 2, 3
2025/4/15, 54, 34, 74, 14, 3, 3
2025/4/16, 82, 47, 80, 15, 3, 3
2025/4/17, 86, 51, 69, 10, 3, 3
2025/4/18, 90, 37, 35, 10, 2, 3
2025/4/19, 61, 18, 49, 5, 2, 3
2025/4/20, 47, 20, 56, 10, 2, 3
2025/4/21, 45, 15, 29, 10, 2, 3
2025/4/22, 45, 12, 52, 7, 2, 2
2025/4/23, 27, 33, 57, 9, 3, 3
2025/4/24, 74, 48, 43, 5, 3, 2
2025/4/25, 88, 30, 50, 11, 3, 2
2025/4/26, 60, 25, 51, 9, 3, 2
2025/4/27, 49, 29, 50, 7, 2, 2
2025/4/28, 58, 33, 57, 10, 2, 2
2025/4/29, 81, 36, 66, 12, 3, 3
2025/4/30, 74, 27, 48, 13, 2, 3
2025/1/1, 73, 25, 31, 12, 3, 4
2025/1/2, 58, 20, 28, 10, 3, 3
2025/1/3, 54, 27, 23, 18, 3, 4
2025/1/4, 69, 30, 10, 24, 2, 5
2025/1/5, 82, 38, 30, 10, 2, 4
2025/1/6, 94, 23, 27, 7, 3, 3
2025/1/7, 56, 21, 28, 10, 2, 3
2025/1/8, 55, 24, 28, 3, 2, 2
2025/1/9, 43, 21, 21, 16, 2, 3
2025/1/10, 57, 29, 16, 26, 2, 4
2025/1/11, 77, 35, 23, 22, 2, 5
2025/1/12, 94, 48, 14, 33, 3, 7
2025/1/13, 121, 53, 31, 24, 3, 7
2025/1/14, 133, 29, 26, 6, 3, 3
2025/1/15, 51, 26, 19, 22, 3, 4
2025/1/16, 59, 43, 15, 21, 3, 5
2025/1/17, 95, 38, 15, 31, 3, 6
2025/1/18, 85, 39, 25, 27, 3, 6
2025/1/19, 93, 66, 25, 28, 3, 8
2025/1/20, 153, 78, 15, 36, 3, 9
2025/1/21, 170, 60, 35, 28, 4, 7
2025/1/22, 148, 39, 19, 21, 3, 5
2025/1/23, 98, 33, 25, 20, 3, 5
2025/1/24, 79, 15, 30, 16, 2, 4
2025/1/25, 46, 9, 29, 13, 2, 3
2025/1/26, 30, 40, 29, 8, 2, 3
