date, pm25, pm10, o3, no2, so2, co
2025/5/1, 59, 22, 45, 10, 3, 2
2025/5/2, 41, 17, 41, 13, 2, 2
2025/5/3, 39, 30, 59, 12, 3, 3
2025/5/4, 41, 28, 38, 14, 3, 3
2025/5/5, 51, 20, 45, 13, 2, 3
2025/5/6, 38, 29, 47, 17, 4, 3
2025/5/7, 56, 43, 66, 21, 3, 3
2025/5/8, 68, 64, 32, 24, 3, 5
2025/5/9, 79, , , , , 
2025/4/1, 91, 46, 51, 28, 4, 4
2025/4/2, 88, 40, 48, 20, 3, 3
2025/4/3, 82, 45, 55, 23, 3, 3
2025/4/4, 97, 26, 36, 19, 3, 4
2025/4/5, 55, 27, 43, 13, 3, 3
2025/4/6, 50, 48, 72, 17, 4, 4
2025/4/7, 78, 57, 63, 16, 3, 3
2025/4/8, 83, 46, 44, 30, 4, 4
2025/4/9, 77, 44, 54, 20, 4, 4
2025/4/10, 88, 54, 54, 30, 4, 5
2025/4/11, 116, 38, 50, 21, 4, 4
2025/4/12, 72, 36, 35, 8, 2, 2
2025/4/13, 29, 18, 32, 16, 2, 3
2025/4/14, 35, 22, 42, 18, 3, 3
2025/4/15, 47, 38, 76, 20, 3, 4
2025/4/16, 69, 53, 61, 16, 4, 3
2025/4/17, 71, 56, 55, 21, 4, 3
2025/4/18, 85, 32, 34, 12, 3, 3
2025/4/19, 53, 25, 49, 13, 3, 4
2025/4/20, 56, 26, 52, 20, 3, 4
2025/4/21, 51, 21, 25, 17, 3, 3
2025/4/22, 46, 16, 52, 14, 3, 3
2025/4/23, 26, 36, 50, 16, 3, 3
2025/4/24, 68, 44, 42, 12, 4, 2
2025/4/25, 71, 34, 45, 16, 4, 2
2025/4/26, 44, 25, 46, 12, 3, 2
2025/4/27, 34, 34, 49, 15, 3, 2
2025/4/28, 52, 42, 53, 17, 3, 3
2025/4/29, 80, 37, 68, 17, 3, 3
2025/4/30, 63, 34, 47, 13, 3, 3
2025/1/1, 67, 36, 25, 21, 4, 4
2025/1/2, 69, 25, 21, 19, 4, 3
2025/1/3, 57, 32, 20, 23, 4, 4
2025/1/4, 68, 31, 18, 29, 3, 5
2025/1/5, 77, 45, 24, 20, 3, 5
2025/1/6, 104, 27, 25, 14, 4, 3
2025/1/7, 55, 28, 24, 21, 4, 4
2025/1/8, 62, 25, 25, 7, 3, 2
2025/1/9, 41, 24, 21, 17, 4, 3
2025/1/10, 55, 32, 21, 25, 4, 4
2025/1/11, 73, 39, 18, 35, 5, 6
2025/1/12, 89, 51, 15, 38, 4, 7
