date, pm25, pm10, o3, no2, so2, co
2025/5/1, 59, 21, 39, 12, 2, 3
2025/5/2, 48, 16, 38, 13, 2, 2
2025/5/3, 43, 30, 54, 10, 3, 3
2025/5/4, 49, 25, 37, 14, 3, 3
2025/5/5, 52, 18, 42, 14, 2, 3
2025/5/6, 41, 26, 45, 15, 3, 3
2025/5/7, 53, 45, 57, 18, 2, 3
2025/5/8, 64, 63, 24, 24, 3, 4
2025/5/9, 73, , , , , 
2025/4/1, 88, 41, 48, 29, 3, 4
2025/4/2, 88, 32, 41, 23, 3, 4
2025/4/3, 79, 35, 52, 22, 3, 4
2025/4/4, 84, 22, 34, 20, 2, 4
2025/4/5, 58, 26, 42, 13, 3, 3
2025/4/6, 60, 41, 64, 18, 3, 4
2025/4/7, 77, 55, 61, 16, 3, 3
2025/4/8, 91, 40, 43, 25, 3, 4
2025/4/9, 79, 41, 48, 22, 3, 4
2025/4/10, 89, 48, 49, 28, 3, 5
2025/4/11, 104, 32, 47, 17, 3, 4
2025/4/12, 73, 35, 32, 8, 2, 2
2025/4/13, 39, 14, 32, 14, 2, 3
2025/4/14, 38, 21, 40, 17, 2, 4
2025/4/15, 55, 32, 70, 16, 3, 3
2025/4/16, 68, 49, 68, 12, 3, 3
2025/4/17, 74, 59, 66, 16, 4, 4
2025/4/18, 94, 29, 33, 12, 3, 3
2025/4/19, 61, 18, 54, 13, 2, 4
2025/4/20, 53, 23, 53, 20, 6, 3
2025/4/21, 58, 15, 29, 24, 13, 3
2025/4/22, 43, 13, 54, 16, 7, 3
2025/4/23, 33, 35, 49, 15, 3, 3
2025/4/24, 72, 44, 36, 13, 3, 3
2025/4/25, 79, 31, 42, 13, 3, 3
2025/4/26, 53, 22, 43, 10, 3, 2
2025/4/27, 39, 31, 43, 13, 3, 2
2025/4/28, 55, 36, 48, 15, 3, 3
2025/4/29, 76, 35, 54, 16, 3, 3
2025/4/30, 68, 30, 46, 10, 2, 3
2025/1/1, 67, 29, 23, 26, 3, 5
2025/1/2, 65, 19, 21, 19, 3, 3
2025/1/3, 54, 24, 19, 25, 3, 4
2025/1/4, 64, 24, 20, 27, 2, 5
2025/1/5, 70, 40, 23, 22, 2, 5
2025/1/6, 104, 20, 22, 15, 3, 3
2025/1/7, 51, 21, 21, 20, 3, 3
2025/1/8, 58, 18, 24, 9, 2, 2
2025/1/9, 34, 16, 25, 19, 3, 3
2025/1/10, 47, 23, 17, 29, 3, 5
2025/1/11, 66, 31, 17, 39, 3, 7
2025/1/12, 84, 41, 17, 37, 3, 7
2025/1/13, 101, 48, 23, 31, 3, 6
2025/1/14, 118, 25, 22, 13, 3, 3
2025/1/15, 39, 25, 12, 26, 3, 4
2025/1/16, 56, 45, 11, 33, 4, 6
2025/1/17, 94, 37, 13, 47, , 8
2025/1/18, 85, 36, 21, 41, , 8
2025/1/19, 91, 62, 27, 40, 3, 9
2025/1/20, 143, 70, 15, 45, 3, 10
2025/1/21, 164, 59, 20, 41, 4, 8
2025/1/22, 149, 43, 19, 38, 3, 7
2025/1/23, 104, 41, 16, 43, 4, 7
2025/1/24, 96, 15, 25, 22, 2, 4
2025/1/25, 45, 9, 24, 11, 2, 3
2025/1/26, 32, 34, 23, 8, 2, 3
2025/1/27, 59, 25, 25, 8, 2, 3
2025/1/28, 68, 22, 27, 7, 2, 3
2025/1/29, 66, 16, 24, 14, 3, 3
2025/1/30, 52, 28, 6, 31, 2, 6
2025/1/31, 76, 39, 18, 28, 2, 7
2025/2/1, 102, 40, 24, 24, 3, 7
2025/2/2, 98, 26, 28, 8, 2, 3
2025/2/3, 64, 15, 25, 8, 2, 3
2025/2/4, 41, 13, 26, 9, 3, 3
2025/2/5, 36, 16, 20, 16, 3, 4
2025/2/6, 44, 23, 27, 11, 2, 3
2025/2/7, 50, 20, 25, 10, 2, 3
2025/2/8, 44, 20, 26, 16, 2, 4
2025/2/9, 52, 21, 21, 26, 3, 5
2025/2/10, 62, 37, 19, 46, 3, 7
2025/2/11, 94, 37, 24, 36, 2, 6
2025/2/12, 95, 22, 25, 21, 3, 3
2025/2/13, 42, 51, 29, 35, 3, 6
2025/2/14, 98, 51, 31, 35, 3, 6
2025/2/15, 119, 50, 37, 30, 3, 6
2025/2/16, 112, 27, 28, 12, 3, 3
2025/2/17, 41, 20, 28, 12, 3, 3
2025/2/18, 42, 19, 27, 13, 2, 3
2025/2/19, 46, 20, 28, 15, 3, 3
2025/2/20, 52, 22, 29, 15, 3, 3
2025/2/21, 55, 26, 30, 14, 3, 3
2025/2/22, 66, 24, 31, 12, 3, 3
2025/2/23, 57, 25, 29, 22, 3, 4
2025/2/24, 60, 24, 33, 28, 2, 4
2025/2/25, 56, 48, 31, 25, 2, 4
2025/2/26, 91, 30, 32, 40, 4, 5
2025/2/27, 50, 42, 27, 55, 4, 8
2025/2/28, 96, 54, 16, 47, 3, 8
2025/3/1, 142, 35, 33, 23, 2, 5
2025/3/2, 92, 9, 31, 8, 2, 2
2025/3/3, 23, 6, 30, 13, 2, 2
2025/3/4, 17, 7, 26, 19, 2, 2
2025/3/5, 19, 36, 35, 21, 3, 4
