date, pm25, pm10, o3, no2, so2, co
2025/5/1, 60, 22, 46, 10, 3, 3
2025/5/2, 48, 16, 41, 13, 3, 3
2025/5/3, 42, 28, 63, 11, 4, 4
2025/5/4, 50, 25, 41, 11, 4, 4
2025/5/5, 52, 17, 46, 8, 3, 3
2025/5/6, 37, 29, 51, 19, 4, 4
2025/5/7, 60, 46, 68, 17, 3, 4
2025/5/8, 73, 64, 45, 16, 4, 5
2025/5/9, 78, , , , , 
2025/4/1, 88, 41, 54, 29, 3, 4
2025/4/2, 83, 31, 49, 17, 2, 3
2025/4/3, 74, 36, 61, 22, 3, 4
2025/4/4, 87, 23, 38, 17, 3, 4
2025/4/5, 51, 26, 52, 14, 3, 4
2025/4/6, 57, 45, 73, 20, 4, 4
2025/4/7, 82, 53, 70, 15, 3, 4
2025/4/8, 87, 41, 51, 25, 3, 4
2025/4/9, 74, 41, 58, 20, 3, 5
2025/4/10, 87, 46, 64, 30, 3, 6
2025/4/11, 97, 34, 54, 22, 3, 5
2025/4/12, 72, 34, 37, 8, 2, 2
2025/4/13, 33, 15, 35, 13, 2, 3
2025/4/14, 33, 19, 45, 18, 3, 4
2025/4/15, 48, 34, 71, 19, 3, 4
2025/4/16, 71, 50, 71, 17, 3, 4
2025/4/17, 74, 57, 75, 18, 4, 5
2025/4/18, 103, 35, 38, 15, 3, 4
2025/4/19, 75, 18, 62, 13, 2, 4
2025/4/20, 52, 24, 61, 19, 3, 4
2025/4/21, 60, 19, 34, 19, 3, 4
2025/4/22, 48, 14, 64, 15, 2, 3
2025/4/23, 27, 35, 61, 16, 3, 3
2025/4/24, 71, 46, 47, 9, 3, 1
2025/4/25, 85, 32, 53, 15, 4, 2
2025/4/26, 56, 24, 52, 12, 4, 2
2025/4/27, 46, 32, 52, 11, 4, 2
2025/4/28, 57, 33, 61, 15, 3, 2
2025/4/29, 74, 36, 68, 18, 4, 3
2025/4/30, 70, 30, 41, 16, 3, 4
2025/1/1, 63, 30, 29, 22, 5, 5
2025/1/2, 60, 19, 23, 17, 4, 5
2025/1/3, 50, 26, 22, 23, 4, 6
2025/1/4, 62, 27, 16, 22, 4, 7
2025/1/5, 71, 41, 28, 15, 4, 7
2025/1/6, 98, 22, 26, 12, 4, 6
2025/1/7, 51, 22, 25, 19, 4, 7
2025/1/8, 53, 23, 28, 7, 3, 5
2025/1/9, 38, 21, 20, 22, 3, 4
2025/1/10, 51, 25, 19, 28, 3, 5
2025/1/11, 63, 32, 24, 31, 3, 7
2025/1/12, 85, 40, 9, 39, 4, 8
2025/1/13, 101, 47, 25, 15, 5, 7
2025/1/14, 92, 27, 25, 9, 4, 4
2025/1/15, 42, 25, 14, 27, 4, 5
2025/1/16, 53, 45, 13, 30, 5, 6
2025/1/17, 93, 39, 16, 39, 4, 7
2025/1/18, 80, 40, 27, 35, 5, 7
2025/1/19, 91, 62, 28, 41, 5, 9
2025/1/20, 140, 78, 14, 52, 5, 12
2025/1/21, 168, 65, 24, 44, 5, 9
2025/1/22, 152, 45, 24, 41, 4, 7
2025/1/23, 106, 32, 28, 35, 4, 5
2025/1/24, 70, 13, 34, 13, 3, 3
2025/1/25, 33, 10, 33, 12, 4, 3
2025/1/26, 25, 34, 29, 10, 4, 3
2025/1/27, 52, 33, 31, 7, 4, 4
2025/1/28, 67, 26, 33, 7, 4, 4
2025/1/29, 65, 18, 31, 16, 4, 4
2025/1/30, 49, 27, 20, 24, 4, 5
2025/1/31, 69, 36, 28, 24, 4, 6
2025/2/1, 87, 35, 31, 21, 4, 6
2025/2/2, 81, 30, 36, 8, 4, 5
2025/2/3, 61, 18, 32, 8, 4, 4
2025/2/4, 42, 16, 33, 10, 4, 4
2025/2/5, 36, 19, 24, 22, 4, 4
2025/2/6, 43, 32, 34, 12, 4, 3
2025/2/7, 53, 23, 32, 9, 4, 3
2025/2/8, 41, 23, 31, 18, 3, 5
2025/2/9, 55, 23, 28, 24, 4, 5
2025/2/10, 60, 35, 30, 33, 4, 6
2025/2/11, 85, 33, 32, 30, 4, 6
2025/2/12, 81, 22, 29, 19, 4, 4
2025/2/13, 39, 48, 33, 34, 5, 7
2025/2/14, 90, 52, 34, 33, 4, 7
2025/2/15, 119, 54, 44, 25, 4, 7
2025/2/16, 121, 31, 34, 9, 4, 4
2025/2/17, 42, 22, 34, 9, 4, 4
2025/2/18, 41, 22, 34, 9, 4, 4
2025/2/19, 44, 23, 37, 12, 4, 4
2025/2/20, 50, 25, 37, 11, 4, 4
2025/2/21, 55, 26, 37, 11, 4, 4
2025/2/22, 60, 27, 40, 8, 4, 4
2025/2/23, 58, 25, 37, 16, 4, 5
2025/2/24, 56, 26, 39, 27, 4, 6
2025/2/25, 56, 50, 40, 21, 4, 5
2025/2/26, 88, 33, 35, 37, 4, 5
2025/2/27, 52, 42, 30, 46, 5, 7
2025/2/28, 86, 51, 27, 34, 4, 7
2025/3/1, 124, 33, 45, 16, 4, 5
2025/3/2, 76, 10, 42, 6, 4, 3
2025/3/3, 17, 8, 41, 8, 4, 3
2025/3/4, 12, 5, 36, 10, 4, 3
