date, pm25, pm10, o3, no2, so2, co
2025/5/1, 71, 26, 41, 9, 2, 2
2025/5/2, 58, 19, 38, 10, 2, 2
2025/5/3, 56, 36, 52, 9, 3, 2
2025/5/4, 60, 31, 34, 12, 3, 3
2025/5/5, 68, 23, 41, 11, 2, 2
2025/5/6, 53, 34, 44, 15, 3, 3
2025/5/7, 68, 49, 61, 17, 3, 3
2025/5/8, 84, 67, 27, 28, 3, 4
2025/5/9, 91, , , , , 
2025/4/1, 113, 47, 51, 27, 3, 4
2025/4/2, 110, 35, 42, 15, 3, 3
2025/4/3, 102, 38, 43, 17, 3, 3
2025/4/4, 110, 38, 33, 16, 2, 3
2025/4/5, 82, 34, 41, 9, 3, 3
2025/4/6, 73, 46, 63, 13, 4, 3
2025/4/7, 94, 56, 57, 12, 3, 3
2025/4/8, 103, 41, 41, 24, 3, 4
2025/4/9, 87, 39, 48, 16, 4, 4
2025/4/10, 101, 49, 48, 23, 4, 4
2025/4/11, 121, 36, 46, 16, 3, 3
2025/4/12, 83, 29, 32, 5, 2, 2
2025/4/13, 49, 14, 31, 12, 2, 2
2025/4/14, 52, 20, 40, 14, 3, 3
2025/4/15, 67, 35, 72, 13, 3, 3
2025/4/16, 87, 49, 67, 10, 3, 3
2025/4/17, 80, 59, 68, 12, 3, 3
2025/4/18, 107, 38, 36, 9, 3, 2
2025/4/19, 72, 18, 52, 10, 3, 3
2025/4/20, 67, 20, 51, 14, 3, 3
2025/4/21, 65, 7, 31, 13, 3, 3
2025/4/22, 21, 16, 45, 11, 3, 3
2025/4/23, 38, 45, 47, 12, 3, 3
2025/4/24, 90, 49, 38, 11, 3, 2
2025/4/25, 76, 37, 42, 13, 3, 2
2025/4/26, 62, 27, 45, 9, 3, 2
2025/4/27, 49, 40, 44, 11, 3, 2
2025/4/28, 66, 43, 49, 14, 3, 3
2025/4/29, 85, 43, 60, 15, 3, 3
2025/4/30, 75, 34, 44, 10, 2, 3
2025/1/1, 72, 37, 21, 15, 4, 4
2025/1/2, 61, 26, 21, 11, 3, 3
2025/1/3, 52, 31, 19, 15, 3, 3
2025/1/4, 64, 33, 19, 18, 2, 4
2025/1/5, 78, 46, 22, 14, 2, 4
2025/1/6, 104, 29, 20, 9, 3, 2
2025/1/7, 47, 30, 20, 12, 3, 3
2025/1/8, 58, 31, 22, 5, 3, 2
2025/1/9, 37, 23, 17, 12, 3, 3
2025/1/10, 47, 32, 16, 19, 3, 4
2025/1/11, 70, 41, 17, 24, 3, 5
2025/1/12, 91, 52, 14, 25, 3, 6
2025/1/13, 116, 57, 24, 19, 3, 5
2025/1/14, 129, 38, 23, 8, 3, 2
2025/1/15, 49, 36, 13, 17, 3, 3
2025/1/16, 64, 53, 12, 21, 4, 5
2025/1/17, 101, 50, 16, 29, 4, 7
2025/1/18, 95, 48, 24, 26, 4, 6
2025/1/19, 103, 73, 29, 24, 3, 6
2025/1/20, 155, 79, 14, 29, 3, 8
2025/1/21, 167, 66, 21, 25, 4, 6
2025/1/22, 155, 52, 21, 24, 3, 6
2025/1/23, 117, 50, 17, 27, 4, 5
2025/1/24, 100, 27, 28, 17, 3, 4
2025/1/25, 56, 16, 27, 8, 3, 2
2025/1/26, 39, 38, 25, 7, 2, 2
2025/1/27, 68, 29, 26, 6, 3, 3
2025/1/28, 68, 27, 28, 6, 3, 2
2025/1/29, 69, 22, 26, 11, 3, 2
2025/1/30, 52, 36, 8, 27, 2, 4
2025/1/31, 85, 47, 19, 23, 2, 5
2025/2/1, 116, 46, 26, 18, 3, 5
2025/2/2, 104, 31, 29, 7, 3, 3
2025/2/3, 65, 24, 25, 6, 3, 2
2025/2/4, 48, 21, 27, 8, 3, 2
2025/2/5, 47, 26, 20, 14, 4, 3
2025/2/6, 56, 33, 28, 6, 3, 2
2025/2/7, 52, 28, 27, 8, 3, 2
2025/2/8, 48, 28, 27, 13, 3, 3
2025/2/9, 56, 29, 23, 18, 3, 4
2025/2/10, 69, 48, 19, 29, 4, 5
2025/2/11, 105, 44, 25, 24, 3, 4
2025/2/12, 105, 34, 26, 13, 4, 2
2025/2/13, 49, 58, 27, 21, 3, 4
2025/2/14, 108, 58, 31, 22, 3, 5
2025/2/15, 131, 60, 38, 18, 3, 5
2025/2/16, 132, 39, 27, 7, 3, 2
2025/2/17, 47, 31, 28, 8, 3, 2
2025/2/18, 47, 29, 27, 9, 3, 2
2025/2/19, 53, 32, 29, 10, 3, 3
2025/2/20, 56, 33, 29, 10, 3, 3
2025/2/21, 62, 34, 31, 8, 3, 3
2025/2/22, 65, 35, 32, 7, 3, 2
2025/2/23, 62, 35, 30, 13, 3, 3
2025/2/24, 63, 34, 33, 18, 3, 3
2025/2/25, 65, 60, 30, 17, 3, 3
2025/2/26, 100, 45, 31, 26, 4, 4
2025/2/27, 65, 53, 29, 34, 4, 6
2025/2/28, 110, 62, 16, 30, 3, 6
2025/3/1, 153, 43, 33, 15, 2, 4
2025/3/2, 102, 16, 31, 5, 2, 2
2025/3/3, 31, 15, 31, 8, 2, 2
2025/3/4, 26, 13, 25, 12, 2, 2
2025/3/5, 36, 44, 34, 13, 3, 4
2025/3/6, 90, 62, 40, 19, 5, 5
2025/3/7, 139, 55, 36, 17, 4, 4
2025/3/8, 121, 57, 35, 17, 3, 4
2025/3/9, 135, 64, 44, 18, 3, 5
2025/3/10, 152, 57, 39, 23, 3, 4
2025/3/11, 131, 49, 33, 19, 3, 3
2025/3/12, 111, 74, 29, 16, 3, 3
2025/3/13, 107, 58, 36, 18, 3, 4
2025/3/14, 78, 40, 38, 9, 3, 2
2025/3/15, 55, 40, 36, 6, 3, 2
2025/3/16, 73, 41, 36, 8, 3, 2
2025/3/17, 73, 34, 36, 12, 2, 3
2025/3/18, 67, 37, 37, 13, 3, 3
2025/3/19, 95, 46, 48, 15, 3, 3
2025/3/20, 114, 63, 54, 14, 4, 4
2025/3/21, 141, 63, 46, 15, 5, 4
2025/3/22, 144, 66, 64, 14, 5, 4
2025/3/23, 149, 68, 47, 13, 5, 4
2025/3/24, 146, 97, 39, 9, 3, 4
2025/3/25, 149, 83, 39, 23, 3, 5
2025/3/26, 80, 53, 43, 9, 3, 3
2025/3/27, 89, 34, 35, 6, 3, 2
2025/3/28, 72, 20, 34, 9, 3, 2
2025/3/29, 50, 17, 36, 8, 3, 2
2025/3/30, 49, 28, 43, 15, 3, 3
2025/3/31, 73, 52, 57, 18, 4, 3
2024/10/1, 17, 12, 30, 5, 3, 4
2024/10/2, 15, 13, 32, 9, 2, 4
2024/10/3, 22, 14, 35, 11, 2, 4
2024/10/4, 22, 20, 45, 12, 3, 4
