date, pm25, pm10, o3, no2, so2, co
2025/5/1, 62, 22, 41, 12, 3, 2
2025/5/2, 50, 16, 38, 13, 3, 3
2025/5/3, 46, 25, 52, 11, 3, 3
2025/5/4, 47, 24, 36, 16, 3, 3
2025/5/5, 58, , 42, 13, 2, 2
2025/5/6, 40, 33, 45, 18, 3, 3
2025/5/7, 56, 45, 60, 20, 3, 3
2025/5/8, 67, 57, 17, 30, 3, 4
2025/5/9, 76, , , , , 
2025/4/1, 103, 48, 50, 33, 4, 5
2025/4/2, 99, 37, 41, 24, 3, 3
2025/4/3, 87, 43, 54, 25, 4, 4
2025/4/4, 101, 28, 33, 20, 3, 4
2025/4/5, 65, 28, 43, 14, 3, 4
2025/4/6, 59, 46, 67, 22, 4, 5
2025/4/7, 79, 55, 62, 18, 3, 3
2025/4/8, 87, 42, 42, 30, 4, 4
2025/4/9, 77, 41, 52, 23, 4, 4
2025/4/10, 87, 49, 53, 31, 4, 5
2025/4/11, 105, 33, 52, 20, 3, 4
2025/4/12, 71, 34, 34, 8, 2, 3
2025/4/13, 31, 14, 34, 14, 2, 3
2025/4/14, 36, 21, 40, 18, 3, 4
2025/4/15, 52, 34, 66, 19, 3, 4
2025/4/16, 68, 49, 63, 14, 3, 4
2025/4/17, 68, 60, 67, 18, 4, 5
2025/4/18, 89, 31, 31, 14, 3, 4
2025/4/19, 61, 22, 52, 14, 3, 4
2025/4/20, 56, 24, 46, 17, 3, 4
2025/4/21, 54, 17, 22, 16, 3, 3
2025/4/22, 41, 11, 52, 15, 3, 3
2025/4/23, 25, 37, 47, 17, 4, 4
2025/4/24, 75, 43, 35, 15, 4, 3
2025/4/25, 82, 30, 43, 17, 4, 3
2025/4/26, 54, 21, 46, 11, 3, 3
2025/4/27, 37, 31, 44, 14, 3, 3
2025/4/28, 55, 37, 51, 18, 3, 3
2025/4/29, 81, 36, 56, 20, 4, 3
2025/4/30, 66, 32, 44, 14, 3, 3
2025/1/1, 66, 31, 22, 26, 3, 5
2025/1/2, 65, 20, 23, 19, 3, 3
2025/1/3, 54, 26, 18, 23, 3, 5
2025/1/4, 65, 26, 24, 16, 2, 4
2025/1/5, 72, 46, 24, 21, 3, 5
2025/1/6, 112, 23, 22, 14, 3, 3
2025/1/7, 54, 25, 22, 22, 3, 4
2025/1/8, 61, 22, 24, 9, 2, 2
2025/1/9, 35, 19, 20, 21, 2, 3
2025/1/10, 52, 26, 21, 28, 3, 5
2025/1/11, 72, 34, 18, 37, 3, 6
2025/1/12, 91, 47, 15, 34, 3, 7
2025/1/13, 118, 53, 25, 29, 4, 6
2025/1/14, 127, 28, 23, 12, 3, 3
2025/1/15, 44, 27, 12, 27, 3, 5
2025/1/16, 62, 47, 11, 35, 4, 6
2025/1/17, 102, 35, 18, 41, 5, 8
2025/1/18, 78, 30, 29, 33, 4, 6
2025/1/19, 76, 66, 29, 38, 4, 8
2025/1/20, 146, 75, 12, 43, 4, 9
2025/1/21, 167, 67, 16, 41, 4, 8
2025/1/22, 159, 48, 17, 42, 4, 7
2025/1/23, 114, 44, 18, 45, 4, 8
