date, pm25, pm10, o3, no2, so2, co
2025/5/1, 52, 18, 46, 4, 4, 3
2025/5/2, 29, 13, 41, 5, 4, 3
2025/5/3, 25, 30, 64, 7, 4, 3
2025/5/4, 41, 23, 40, 9, 4, 3
2025/5/5, 43, 16, 47, 5, 4, 2
2025/5/6, 24, 28, 50, 11, 4, 3
2025/5/7, 49, 41, 72, 11, 4, 3
2025/5/8, 65, 64, 34, 12, 4, 3
2025/5/9, 81, , , , , 
2025/4/1, 96, 43, 65, 24, 4, 4
2025/4/2, 81, 37, 49, 16, 4, 3
2025/4/3, 63, 31, 58, 19, 4, 4
2025/4/4, 68, 24, 33, 16, 4, 4
2025/4/5, 56, 27, 46, 10, 4, 4
2025/4/6, 55, 50, 73, 18, 4, 5
2025/4/7, 81, 53, 67, 7, 4, 4
2025/4/8, 76, 39, 47, 20, 4, 5
2025/4/9, 66, 38, 56, 12, 4, 5
2025/4/10, 77, 43, 60, 20, 4, 5
2025/4/11, 83, 29, 49, 14, 4, 5
2025/4/12, 58, 36, 35, 3, 3, 3
2025/4/13, 27, 13, 30, 9, 4, 4
2025/4/14, 22, 18, 42, 13, 4, 4
2025/4/15, 40, 37, 71, 17, 4, 5
2025/4/16, 72, 49, 74, 18, 4, 5
2025/4/17, 68, 52, 63, 13, 3, 5
2025/4/18, 80, 33, 37, 11, 2, 5
2025/4/19, 76, 20, 50, 5, 2, 5
2025/4/20, 40, 21, 55, 9, 2, 4
2025/4/21, 38, 15, 32, 11, 2, 5
2025/4/22, 33, 12, 59, 7, 2, 4
2025/4/23, 13, 36, 58, 10, 2, 4
2025/4/24, 59, 43, 44, 3, 4, 3
2025/4/25, 64, 30, 49, 11, 4, 3
2025/4/26, 40, 26, 50, 8, 5, 3
2025/4/27, 28, 29, 51, 7, 4, 3
2025/4/28, 39, 29, 57, 12, 4, 3
2025/4/29, 59, 35, 66, 14, 5, 3
2025/4/30, 54, 25, 46, 13, 4, 4
2025/1/1, 65, 28, 34, 16, 4, 5
2025/1/2, 59, 18, 30, 14, 4, 4
2025/1/3, 49, 26, 25, 21, 4, 5
2025/1/4, 63, 30, 16, 26, 3, 6
2025/1/5, 79, 38, 32, 13, 4, 5
2025/1/6, 92, 23, 30, 8, 4, 4
2025/1/7, 50, 22, 30, 16, 4, 5
2025/1/8, 50, 25, 31, 4, 3, 3
2025/1/9, 37, 21, 25, 19, 3, 5
2025/1/10, 50, 30, 20, 31, 3, 7
2025/1/11, 73, 33, 31, 26, 3, 7
2025/1/12, 81, 46, 11, 40, 3, 9
2025/1/13, 113, 51, 34, 28, 4, 9
2025/1/14, 131, 29, 27, 6, 4, 4
2025/1/15, 38, 26, 18, 22, 3, 4
2025/1/16, 49, 44, 23, 25, 4, 6
2025/1/17, 87, 37, 17, 38, 4, 7
2025/1/18, 72, 39, 31, 34, 4, 7
2025/1/19, 86, 63, 29, 36, 4, 9
2025/1/20, 142, 73, 17, 46, 4, 11
2025/1/21, 160, 60, 38, 35, 4, 8
2025/1/22, 137, 40, 30, 32, 4, 6
2025/1/23, 89, 33, 31, 29, 4, 5
2025/1/24, 67, 18, 36, 19, 3, 4
2025/1/25, 36, 9, 35, 14, 3, 3
2025/1/26, 11, 31, 33, 8, 3, 3
2025/1/27, 47, 27, 34, 5, 3, 4
2025/1/28, 59, 24, 36, 5, 3, 3
2025/1/29, 54, 16, 33, 12, 3, 3
2025/1/30, 33, 28, 14, 33, 3, 6
2025/1/31, 65, 39, 31, 25, 4, 6
2025/2/1, 85, 28, 39, 16, 4, 5
2025/2/2, 65, 25, 38, 5, 4, 4
2025/2/3, 45, 17, 34, 5, 3, 3
2025/2/4, 30, 14, 36, 6, 3, 4
2025/2/5, 22, 17, 29, 20, 3, 5
2025/2/6, 34, 30, 36, 9, 3, 3
2025/2/7, 40, 22, 35, 4, 3, 3
2025/2/8, 31, 23, 36, 14, 3, 4
