date, pm25, pm10, o3, no2, so2, co
2025/5/1, 61, 25, 43, 8, 2, 3
2025/5/2, 49, 17, 40, 11, 2, 2
2025/5/3, 41, 33, 58, 10, 3, 3
2025/5/4, 47, 28, 38, 13, 3, 3
2025/5/5, 53, 20, 45, 11, 2, 2
2025/5/6, 40, 31, 48, 15, 3, 3
2025/5/7, 56, 48, 65, 15, 3, 3
2025/5/8, 64, 70, 33, 20, 3, 3
2025/5/9, 74, , , , , 
2025/4/1, 98, 46, 48, 26, 3, 4
2025/4/2, 92, 39, 42, 16, 2, 3
2025/4/3, 86, 41, 52, 19, 3, 3
2025/4/4, 90, 26, 35, 16, 2, 4
2025/4/5, 57, 25, 46, 8, 2, 3
2025/4/6, 55, 51, 66, 16, 3, 4
2025/4/7, 85, 57, 61, 12, 3, 3
2025/4/8, 87, 45, 44, 26, 3, 4
2025/4/9, 77, 45, 50, 15, 3, 4
2025/4/10, 92, 51, 53, 26, 3, 5
2025/4/11, 105, 39, 47, 22, 3, 4
2025/4/12, 72, 36, 32, 5, 1, 2
2025/4/13, 28, 17, 30, 13, 1, 3
2025/4/14, 31, 23, 40, 13, 2, 3
2025/4/15, 50, 40, 68, 16, 3, 4
2025/4/16, 75, 55, 62, 17, 3, 3
2025/4/17, 72, 60, 59, 18, 4, 4
2025/4/18, 88, 38, 36, 13, 3, 3
2025/4/19, 63, 22, 52, 10, 2, 4
2025/4/20, 52, 28, 52, 19, 3, 4
2025/4/21, 55, 21, 28, 16, 3, 3
2025/4/22, 42, 15, 55, 11, 3, 3
2025/4/23, 23, 39, 54, 13, 3, 3
2025/4/24, 68, 50, 41, 8, 3, 3
2025/4/25, 83, 36, 46, 14, 3, 2
2025/4/26, 54, 27, 47, 11, 3, 2
2025/4/27, 41, 33, 47, 12, 3, 2
2025/4/28, 50, 38, 52, 16, 3, 3
2025/4/29, 74, 42, 62, 18, 3, 3
2025/4/30, 71, 34, 42, 16, 3, 3
2025/1/1, 64, 32, 27, 22, 3, 5
2025/1/2, 57, 21, 23, 13, 3, 3
2025/1/3, 46, 29, 22, 22, 3, 4
2025/1/4, 61, 34, 7, 32, 2, 5
2025/1/5, 74, 45, 25, 18, 2, 5
2025/1/6, 97, 24, 24, 11, 2, 3
2025/1/7, 49, 24, 24, 20, 2, 4
2025/1/8, 51, 23, 25, 6, 2, 2
2025/1/9, 35, 22, 21, 20, 2, 4
2025/1/10, 47, 29, 17, 30, 2, 6
2025/1/11, 68, 34, 21, 30, 2, 7
2025/1/12, 82, 49, 10, 38, 2, 8
2025/1/13, 110, 53, 27, 30, 3, 8
2025/1/14, 124, 28, 24, 9, 2, 3
2025/1/15, 44, 29, 12, 26, 2, 5
2025/1/16, 55, 48, 15, 28, 3, 6
2025/1/17, 94, 42, 13, 42, 3, 8
2025/1/18, 85, 46, 23, 38, 3, 8
2025/1/19, 98, 70, 27, 38, 3, 10
2025/1/20, 153, 88, 9, 53, 3, 14
2025/1/21, 176, 67, 25, 34, 3, 9
2025/1/22, 152, 47, 18, 38, 3, 9
2025/1/23, 109, 37, 21, 35, 4, 6
2025/1/24, 81, 21, 28, 23, 3, 4
2025/1/25, 49, 10, 28, 11, 2, 3
2025/1/26, 24, 35, 26, 7, 2, 3
2025/1/27, 62, 31, 27, 5, 2, 3
2025/1/28, 71, 28, 29, 6, 2, 3
2025/1/29, 69, 19, 27, 13, 3, 3
2025/1/30, 51, 30, 9, 32, 2, 5
2025/1/31, 77, 45, 21, 33, 2, 6
2025/2/1, 106, 35, 28, 22, 3, 5
2025/2/2, 82, 29, 30, 7, 2, 3
2025/2/3, 64, 19, 27, 7, 2, 3
2025/2/4, 43, 16, 25, 7, 3, 3
2025/2/5, 37, 21, 25, 20, 3, 4
2025/2/6, 48, 27, 28, 11, 2, 3
2025/2/7, 53, 23, 27, 8, 2, 3
