date, pm25, pm10, o3, no2, so2, co
2025/5/1, 53, 24, 42, 9, 2, 2
2025/5/2, 44, 17, 38, 10, 2, 2
2025/5/3, 36, 30, 54, 9, 2, 3
2025/5/4, 42, 25, 36, 13, 2, 3
2025/5/5, 50, 20, 42, 14, 2, 3
2025/5/6, 38, 29, 44, 14, 2, 3
2025/5/7, 52, 44, 62, 17, 3, 3
2025/5/8, 62, 63, 37, 17, 3, 3
2025/5/9, 70, , , , , 
2025/4/1, 103, 48, 56, 30, 3, 4
2025/4/2, 101, 38, 46, 21, 2, 3
2025/4/3, 92, 40, 61, 22, 3, 3
2025/4/4, 96, 27, 37, 20, 2, 4
2025/4/5, 71, 30, 48, 11, 2, 3
2025/4/6, 66, 46, 78, 17, 3, 4
2025/4/7, 83, 56, 72, 14, 2, 3
2025/4/8, 90, 42, 46, 25, 3, 4
2025/4/9, 81, 42, 57, 19, 3, 4
2025/4/10, 95, 50, 57, 27, 3, 5
2025/4/11, 113, 35, 52, 18, 3, 4
2025/4/12, 76, 38, 35, 7, 2, 2
2025/4/13, 46, 18, 35, 13, 2, 3
2025/4/14, 49, 23, 43, 16, 2, 3
2025/4/15, 60, 35, 75, 15, 3, 3
2025/4/16, 74, 51, 77, 11, 3, 3
2025/4/17, 78, 58, 72, 14, 3, 4
2025/4/18, 98, 32, 34, 11, 2, 3
2025/4/19, 62, 19, 56, 11, 2, 3
2025/4/20, 47, 24, 53, 15, 2, 3
2025/4/21, 45, 18, 22, 13, 2, 3
2025/4/22, 39, 16, 59, 13, 2, 3
2025/4/23, 23, 36, 57, 14, 3, 3
2025/4/24, 64, 45, 43, 11, 3, 3
2025/4/25, 74, 32, 51, 12, 3, 2
2025/4/26, 47, 23, 51, 10, 3, 2
2025/4/27, 33, 32, 51, 10, 3, 2
2025/4/28, 50, 35, 59, 14, 3, 3
2025/4/29, 74, 36, 57, 15, 3, 3
2025/4/30, 62, 30, 48, 9, 2, 2
2025/1/1, 69, 32, 24, 27, 3, 4
2025/1/2, 67, 22, 21, 16, 3, 3
2025/1/3, 56, 28, 19, 25, 3, 4
2025/1/4, 66, 29, 17, 26, 2, 4
2025/1/5, 75, 45, 24, 21, 2, 5
2025/1/6, 110, 23, 23, 12, 2, 3
