date, pm25, pm10, o3, no2, so2, co
2025/5/1, 59, 26, 43, 10, 3, 3
2025/5/2, 52, 18, 42, 10, 2, 3
2025/5/3, 43, 35, 58, 8, 3, 3
2025/5/4, 53, 29, 37, 12, 3, 3
2025/5/5, 59, 21, 44, 11, 2, 3
2025/5/6, 41, 33, 47, 14, 3, 3
2025/5/7, 65, 52, 61, 17, 2, 3
2025/5/8, 80, 65, 23, 28, 2, 4
2025/5/9, 94, , , , , 
2025/4/1, 112, 52, 52, 29, 4, 6
2025/4/2, 103, 42, 47, 18, 3, 4
2025/4/3, 92, 45, 58, 20, 4, 5
2025/4/4, 104, 30, 37, 17, 2, 4
2025/4/5, 78, 35, 46, 8, 3, 3
2025/4/6, 70, 54, 71, 16, 4, 4
2025/4/7, 91, 60, 67, 11, 3, 4
2025/4/8, 95, 48, 43, 25, 3, 4
2025/4/9, 78, 46, 52, 18, 3, 4
2025/4/10, 97, 54, 54, 26, 3, 5
2025/4/11, 113, 35, 49, 17, 3, 4
2025/4/12, 73, 37, 35, 5, 2, 3
2025/4/13, 42, 18, 33, 12, 2, 3
2025/4/14, 42, 27, 39, 14, 3, 4
2025/4/15, 59, 43, 66, 16, 3, 4
2025/4/16, 82, 54, 70, 13, 3, 4
2025/4/17, 83, 65, 67, 16, 3, 4
2025/4/18, 108, 38, 36, 12, 3, 4
2025/4/19, 72, 24, 54, 11, 3, 4
2025/4/20, 57, 27, 50, 15, 3, 4
2025/4/21, 56, 16, 25, 17, 3, 4
2025/4/22, 41, 19, 55, 14, 3, 4
2025/4/23, 32, 46, 51, 14, 3, 4
2025/4/24, 82, 55, 41, 11, 3, 3
2025/4/25, 74, 39, 48, 13, 3, 3
2025/4/26, 57, 29, 48, 9, 3, 3
2025/4/27, 44, 41, 49, 10, 3, 3
2025/4/28, 61, 41, 47, 16, 3, 3
2025/4/29, 71, 43, 60, 18, 3, 3
2025/4/30, 66, 29, 47, 11, 3, 3
2025/1/1, 69, 40, 22, 16, 3, 3
2025/1/2, 69, 25, 25, 12, 3, 3
