date, pm25, pm10, o3, no2, so2, co
2025/5/1, 58, 22, 40, 11, 2, 3
2025/5/2, 43, 14, 38, 13, 2, 2
2025/5/3, 40, 29, 55, 11, 3, 3
2025/5/4, 49, 24, 39, 11, 3, 3
2025/5/5, 50, 18, 42, 11, 2, 2
2025/5/6, 39, 28, 46, 19, 3, 3
2025/5/7, 56, 45, 60, 20, 3, 3
2025/5/8, 66, 64, 32, 23, 4, 3
2025/5/9, 75, , , , , 
2025/4/1, 93, 42, 45, 29, 3, 4
2025/4/2, 85, 33, 41, 15, 3, 3
2025/4/3, 76, 37, 49, 22, 3, 3
2025/4/4, 85, 22, 34, 15, 2, 3
2025/4/5, 55, 25, 43, 11, 2, 3
2025/4/6, 57, 44, 65, 17, 3, 4
2025/4/7, 73, 58, 58, 15, 3, 3
2025/4/8, 78, 42, 41, 27, 4, 4
2025/4/9, 73, 41, 47, 20, 3, 4
2025/4/10, 86, 49, 49, 28, 4, 5
2025/4/11, 99, 35, 44, 23, 3, 4
2025/4/12, 70, 34, 32, 5, 2, 2
2025/4/13, 29, 12, 30, 13, 2, 3
2025/4/14, 32, 18, 38, 15, 2, 3
2025/4/15, 49, 36, 59, 17, 3, 4
2025/4/16, 72, 51, 62, 18, 4, 3
2025/4/17, 70, 57, 56, 18, 3, 4
2025/4/18, 86, 35, 31, 15, 3, 3
2025/4/19, 61, 17, 49, 10, 3, 3
2025/4/20, 51, 22, 45, 20, 3, 3
2025/4/21, 53, 16, 26, 18, 4, 3
2025/4/22, 40, 12, 48, 13, 4, 3
2025/4/23, 23, 33, 49, 16, 3, 3
2025/4/24, 67, 43, 39, 11, 3, 3
2025/4/25, 79, 31, 46, 15, 3, 2
2025/4/26, 51, 22, 46, 11, 3, 2
2025/4/27, 36, 31, 44, 13, 3, 2
2025/4/28, 54, 32, 50, 17, 3, 3
2025/4/29, 72, 35, 56, 21, 4, 3
2025/4/30, 63, 31, 41, 15, 3, 3
2025/1/1, 61, 34, 23, 24, 4, 5
2025/1/2, 60, 20, 19, 17, 3, 3
2025/1/3, 47, 28, 21, 24, 3, 4
2025/1/4, 59, 28, 13, 26, 2, 4
2025/1/5, 67, 43, 24, 19, 3, 5
2025/1/6, 96, 23, 22, 14, 3, 3
2025/1/7, 49, 23, 20, 22, 3, 4
2025/1/8, 53, 24, 23, 9, 3, 2
2025/1/9, 38, 20, 19, 21, 3, 3
2025/1/10, 48, 25, 14, 30, 3, 4
2025/1/11, 61, 33, 19, 32, 3, 5
2025/1/12, 79, 46, 8, 38, 3, 7
2025/1/13, 97, 49, 23, 29, 4, 5
2025/1/14, 101, 32, 21, 12, 4, 3
2025/1/15, 46, 44, 13, 30, 4, 5
2025/1/16, 74, 46, 11, 29, 4, 5
2025/1/17, 83, 39, 13, 42, 4, 6
2025/1/18, 76, 42, 24, 38, 4, 7
2025/1/19, 81, 65, 21, 43, 4, 8
2025/1/20, 132, 78, 9, 50, 4, 10
2025/1/21, 159, 66, 21, 41, 4, 7
2025/1/22, 144, 45, 21, 39, 4, 7
2025/1/23, 95, 41, 15, 41, 5, 6
2025/1/24, 77, 18, 32, 21, 5, 3
2025/1/25, 42, 10, 32, 11, 3, 2
2025/1/26, 25, 37, 28, 9, 2, 3
2025/1/27, 52, 28, 29, 8, 2, 3
2025/1/28, 63, 25, 31, 8, 2, 3
2025/1/29, 63, 18, 29, 17, 2, 3
2025/1/30, 48, 30, 13, 32, 4, 4
2025/1/31, 66, 40, 20, 34, 4, 6
2025/2/1, 87, 35, 29, 25, 3, 5
2025/2/2, 74, 27, 32, 10, 3, 3
2025/2/3, 59, 18, 27, 11, 3, 2
2025/2/4, 40, 17, 29, 11, 3, 3
2025/2/5, 33, 19, 26, 21, 3, 3
2025/2/6, 39, 27, 29, 12, 3, 3
2025/2/7, 48, 21, 28, 11, 3, 3
2025/2/8, 37, 23, 30, 17, 2, 4
2025/2/9, 48, 23, 26, 24, 3, 4
2025/2/10, 56, 37, 26, 36, 4, 6
2025/2/11, 80, 37, 29, 35, 3, 5
2025/2/12, 76, 21, 24, 20, 3, 3
2025/2/13, 33, 49, 24, 36, 4, 6
2025/2/14, 81, 53, 28, 33, 3, 6
2025/2/15, 101, 55, 39, 24, 3, 5
2025/2/16, 109, 30, 27, 11, 3, 2
2025/2/17, 38, 21, 28, 11, 3, 2
2025/2/18, 39, 22, 28, 12, 3, 3
2025/2/19, 44, 22, 29, 13, 3, 3
2025/2/20, 46, 25, 31, 14, 3, 4
2025/2/21, 54, 26, 30, 12, 3, 3
2025/2/22, 58, 27, 33, 9, 3, 3
2025/2/23, 55, 25, 29, 18, 3, 3
2025/2/24, 53, 26, 31, 27, 2, 4
2025/2/25, 51, 50, 31, 22, 3, 4
2025/2/26, 79, 34, 26, 39, 4, 5
2025/2/27, 50, 45, 25, 48, 5, 7
2025/2/28, 83, 56, 20, 38, 4, 7
2025/3/1, 118, 37, 37, 19, 3, 4
2025/3/2, 75, 10, 35, 5, 3, 2
2025/3/3, 18, 8, 35, 8, 3, 2
2025/3/4, 16, 7, 28, 15, 4, 2
2025/3/5, 15, 35, 37, 23, 3, 4
2025/3/6, 73, 53, 39, 30, 4, 6
2025/3/7, 114, 43, 38, 24, 4, 4
2025/3/8, 104, 44, 39, 21, 3, 4
2025/3/9, 104, 54, 46, 29, 3, 5
2025/3/10, 135, 49, 40, 31, 4, 5
2025/3/11, 120, 38, 31, 30, 3, 4
2025/3/12, 82, 59, 27, 23, 3, 4
2025/3/13, 85, 49, 34, 29, 4, 4
2025/3/14, 66, 27, 38, 10, 3, 2
2025/3/15, 45, 26, 36, 6, 2, 2
2025/3/16, 61, 28, 34, 10, 2, 3
2025/3/17, 65, 20, 39, 10, 3, 3
2025/3/18, 64, 35, 38, 14, 2, 3
2025/3/19, 88, 44, 49, 18, 2, 4
2025/3/20, 99, 62, 52, 18, 4, 5
2025/3/21, 125, 59, 51, 21, 5, 5
2025/3/22, 121, 61, 63, 17, 5, 5
2025/3/23, 119, 66, 54, 18, 5, 5
2025/3/24, 123, 89, 46, 14, 3, 5
2025/3/25, 135, 73, 36, 28, 4, 5
2025/3/26, 63, 48, 38, 17, 4, 3
2025/3/27, 71, 33, 34, 8, 3, 3
2025/3/28, 62, 17, 33, 10, 2, 2
2025/3/29, 35, 17, 35, 8, 2, 2
2025/3/30, 35, 26, 38, 18, 2, 3
