date, pm25, pm10, o3, no2, so2, co
2025/5/1, 61, 22, 44, 11, 3, 3
2025/5/2, 45, 18, 41, 13, 2, 2
2025/5/3, 39, 32, 58, 11, 3, 3
2025/5/4, 44, 28, 37, 14, 3, 3
2025/5/5, 53, 20, 45, 14, 2, 3
2025/5/6, 40, 30, 48, 16, 3, 3
2025/5/7, 53, 43, 65, 21, 3, 3
2025/5/8, 67, 65, 33, 24, 3, 4
2025/5/9, 84, , , , , 
2025/4/1, 100, 48, 52, 28, 3, 4
2025/4/2, 97, 40, 45, 21, 2, 3
2025/4/3, 90, 44, 56, 21, 3, 3
2025/4/4, 101, 28, 36, 20, 2, 4
2025/4/5, 63, 30, 43, 13, 2, 3
2025/4/6, 60, 49, 70, 16, 3, 4
2025/4/7, 82, 58, 63, 16, 3, 3
2025/4/8, 87, 46, 44, 28, 3, 4
2025/4/9, 80, 44, 53, 21, 3, 4
2025/4/10, 91, 53, 49, 27, 3, 5
2025/4/11, 118, 38, 49, 20, 3, 4
2025/4/12, 76, 36, 34, 8, 2, 2
2025/4/13, 35, 18, 32, 16, 2, 3
2025/4/14, 38, 23, 40, 18, 3, 4
2025/4/15, 54, 39, 75, 18, 3, 4
2025/4/16, 76, 53, 66, 15, 3, 3
2025/4/17, 75, 57, 62, 16, 3, 3
2025/4/18, 91, 33, 34, 12, 2, 3
2025/4/19, 64, 24, 51, 13, 2, 4
2025/4/20, 59, 27, 52, 19, 2, 4
2025/4/21, 55, 20, 29, 15, 3, 3
2025/4/22, 40, 15, 53, 14, 2, 3
2025/4/23, 24, 39, 52, 15, 3, 3
2025/4/24, 73, 45, 41, 12, 3, 3
2025/4/25, 74, 34, 47, 15, 4, 2
2025/4/26, 54, 25, 47, 10, 3, 2
2025/4/27, 38, 35, 47, 14, 3, 2
2025/4/28, 55, 42, 52, 17, 3, 3
2025/4/29, 82, 39, 67, 18, 3, 3
2025/4/30, 68, 34, 48, 12, 2, 3
2025/1/1, 70, 33, 22, 25, 4, 5
2025/1/2, 71, 21, 21, 21, 3, 4
2025/1/3, 58, 27, 17, 25, 3, 4
2025/1/4, 71, 28, 18, 28, 2, 5
2025/1/5, 77, 44, 21, 22, 2, 5
2025/1/6, 110, 25, 23, 16, 3, 3
2025/1/7, 58, 25, 22, 21, 3, 4
2025/1/8, 65, 24, 24, 9, 2, 2
2025/1/9, 41, 20, 18, 19, 2, 3
2025/1/10, 56, 29, 18, 30, 2, 5
2025/1/11, 78, 35, 17, 41, 3, 7
2025/1/12, 94, 49, 14, 39, 3, 7
2025/1/13, 120, 54, 24, 31, 3, 6
2025/1/14, 133, 29, 22, 16, 3, 3
2025/1/15, 51, 30, 12, 28, 3, 4
2025/1/16, 67, 48, 12, 33, 4, 6
2025/1/17, 103, 42, 11, 51, 4, 9
2025/1/18, 96, 41, 23, 43, 4, 8
2025/1/19, 96, 67, 28, 37, 3, 7
2025/1/20, 148, 81, 9, 53, 4, 10
2025/1/21, 173, 65, 19, 44, 4, 7
2025/1/22, 157, 47, 20, 41, 5, 7
2025/1/23, 118, 48, 16, 45, 5, 8
2025/1/24, 110, 28, 26, 29, 4, 6
2025/1/25, 68, 11, 27, 14, 3, 3
2025/1/26, 35, 36, 24, 11, 3, 3
2025/1/27, 65, 27, 26, 9, 2, 4
2025/1/28, 76, 27, 28, 10, 2, 3
2025/1/29, 76, 18, 24, 17, 3, 3
2025/1/30, 56, 31, 7, 39, 2, 6
2025/1/31, 81, 47, 20, 34, 3, 7
2025/2/1, 123, 43, 26, 26, 3, 6
2025/2/2, 106, 29, 29, 11, 3, 4
2025/2/3, 74, 19, 26, 11, 2, 3
2025/2/4, 50, 17, 27, 13, 2, 3
2025/2/5, 46, 18, 18, 24, 3, 4
2025/2/6, 52, 29, 29, 15, 2, 3
2025/2/7, 59, 23, 29, 14, 2, 3
2025/2/8, 53, 22, 29, 20, 3, 4
2025/2/9, 58, 23, 24, 30, 3, 5
2025/2/10, 68, 43, 20, 47, 4, 7
2025/2/11, 106, 39, 24, 39, 3, 5
2025/2/12, 99, 23, 25, 23, 3, 3
2025/2/13, 49, 53, 30, 34, 4, 5
2025/2/14, 104, 54, 31, 37, 3, 6
2025/2/15, 127, 55, 39, 30, 3, 6
2025/2/16, 126, 32, 29, 14, 3, 3
2025/2/17, 49, 24, 30, 14, 3, 3
2025/2/18, 49, 22, 29, 15, 3, 3
2025/2/19, 52, 24, 30, 16, 3, 4
2025/2/20, 56, 26, 31, 16, 3, 3
2025/2/21, 63, 28, 33, 15, 3, 4
2025/2/22, 70, 28, 33, 12, 3, 3
2025/2/23, 64, 27, 29, 22, 3, 4
2025/2/24, 63, 26, 34, 26, 3, 4
2025/2/25, 57, 52, 33, 26, 3, 4
2025/2/26, 95, 34, 35, 40, 4, 5
2025/2/27, 58, 44, 32, 55, 5, 8
2025/2/28, 94, 54, 19, 47, 3, 8
2025/3/1, 138, 40, 37, 25, 3, 5
2025/3/2, 105, 10, 35, 9, 2, 2
2025/3/3, 24, 8, 35, 13, 2, 2
2025/3/4, 18, 6, 29, 18, 2, 3
2025/3/5, 15, 39, 38, 22, 3, 5
2025/3/6, 89, 57, 44, 32, 4, 6
2025/3/7, 142, 48, 40, 27, 4, 4
2025/3/8, 118, 51, 41, 27, 3, 5
2025/3/9, 127, 59, 50, 33, 3, 6
2025/3/10, 147, 50, 43, 39, 4, 6
2025/3/11, 125, 40, 35, 32, 3, 4
2025/3/12, 95, 61, 31, 25, 3, 4
2025/3/13, 86, 52, 39, 29, 3, 4
2025/3/14, 71, 34, 39, 15, 3, 3
2025/3/15, 49, 32, 37, 11, 2, 3
2025/3/16, 69, 35, 37, 14, 3, 3
2025/3/17, 74, 31, 39, 14, 2, 3
2025/3/18, 81, 45, 41, 18, 3, 3
2025/3/19, 104, 51, 52, 21, 3, 4
2025/3/20, 108, 65, 60, 20, 4, 5
2025/3/21, 131, 65, 51, 21, 4, 5
2025/3/22, 136, 67, 69, 19, 4, 5
2025/3/23, 141, 71, 60, 16, 4, 5
2025/3/24, 135, 96, 46, 14, 3, 5
2025/3/25, 141, 79, 40, 30, 3, 5
2025/3/26, 67, 54, 46, 14, 3, 3
2025/3/27, 75, 38, 36, 9, 3, 3
2025/3/28, 67, 24, 35, 11, 3, 3
2025/3/29, 45, 24, 38, 10, 3, 2
2025/3/30, 39, 33, 45, 18, 3, 3
2025/3/31, 61, 55, 61, 23, 3, 4
2024/10/1, 28, 15, 28, 9, 2, 2
2024/10/2, 28, 15, 31, 12, 2, 2
2024/10/3, 34, 16, 31, 14, 2, 2
2024/10/4, 32, 23, 40, 17, 2, 3
2024/10/5, 51, 22, 13, 21, 2, 3
2024/10/6, 55, 37, 37, 18, 2, 4
2024/10/7, 77, 42, 32, 19, 2, 4
2024/10/8, 87, 12, 35, 10, 2, 2
2024/10/9, 26, 18, 40, 13, 2, 2
2024/10/10, 42, 32, 57, 19, 2, 3
2024/10/11, 71, 34, 42, 20, 3, 4
2024/10/12, 75, 27, 35, 16, 2, 3
2024/10/13, 64, 17, 19, 17, 2, 2
2024/10/14, 43, 18, 13, 18, 2, 2
2024/10/15, 49, 38, 29, 23, 3, 4
2024/10/16, 80, 35, 33, 25, 2, 4
2024/10/17, 74, 19, 12, 17, 2, 3
2024/10/18, 45, 7, 25, 6, 2, 2
2024/10/19, 18, 11, 25, 4, 1, 1
2024/10/20, 15, 15, 17, 17, 2, 2
2024/10/21, 24, 12, 20, 21, 2, 3
2024/10/22, 29, 12, 28, 8, 2, 2
2024/10/23, 26, 22, 30, 16, 2, 3
2024/10/24, 54, 27, 17, 29, 2, 5
2024/10/25, 58, 23, 25, 25, 2, 4
2024/10/26, 53, 24, 29, 14, 3, 3
2024/10/27, 55, 37, 21, 16, 2, 4
2024/10/28, 85, 13, 20, 17, 2, 2
2024/10/29, 28, 25, 35, 19, 3, 4
