date, pm25, pm10, o3, no2, so2, co
2025/5/1, 62, 19, 43, 10, 3, 3
2025/5/2, 46, 16, 42, 12, 2, 2
2025/5/3, 41, 26, 60, 11, 3, 3
2025/5/4, 49, 25, 37, 15, 3, 3
2025/5/5, 58, 18, 46, 13, 2, 2
2025/5/6, 39, 25, 50, 16, 3, 3
2025/5/7, 58, 40, 67, 19, 3, 3
2025/5/8, 70, 57, 35, 24, 3, 4
2025/5/9, 77, , , , , 
2025/4/1, 96, 41, 56, 28, 3, 4
2025/4/2, 91, 34, 48, 19, 2, 3
2025/4/3, 85, 39, 60, 21, 3, 3
2025/4/4, 101, 25, 38, 20, 2, 4
2025/4/5, 68, 26, 47, 11, 2, 3
2025/4/6, 60, 42, 72, 16, 3, 3
2025/4/7, 83, 50, 68, 15, 3, 3
2025/4/8, 89, 40, 44, 30, 3, 4
2025/4/9, 81, 39, 53, 19, 3, 4
2025/4/10, 92, 48, 56, 28, 3, 5
2025/4/11, 118, 33, 50, 21, 3, 4
2025/4/12, 73, 31, 36, 7, 2, 2
2025/4/13, 30, 16, 33, 16, 2, 3
2025/4/14, 39, 19, 43, 16, 2, 3
2025/4/15, 52, 33, 76, 19, 3, 4
2025/4/16, 77, 47, 72, 16, 3, 3
2025/4/17, 76, 52, 68, 16, 3, 3
2025/4/18, 91, 32, 33, 13, 2, 3
2025/4/19, 65, 19, 56, 11, 2, 3
2025/4/20, 53, 23, 49, 21, 3, 4
2025/4/21, 55, 17, 26, 19, 3, 3
2025/4/22, 43, 13, 55, 15, 2, 3
2025/4/23, 29, 33, 57, 15, 3, 3
2025/4/24, 78, 39, 41, 11, 3, 2
2025/4/25, 76, 28, 46, 15, 3, 2
2025/4/26, 54, 20, 49, 10, 3, 2
2025/4/27, 40, 31, 46, 12, 4, 2
2025/4/28, 58, 37, 51, 17, 5, 3
2025/4/29, 81, 35, 67, 19, 4, 3
2025/4/30, 71, 30, 48, 12, 3, 3
2025/1/1, 64, 30, 24, 23, 3, 4
2025/1/2, 63, 20, 22, 19, 3, 3
2025/1/3, 51, 26, 21, 23, 3, 4
2025/1/4, 64, 29, 13, 31, 3, 5
2025/1/5, 76, 41, 25, 21, 2, 5
2025/1/6, 103, 23, 24, 13, 3, 3
2025/1/7, 51, 23, 24, 17, 3, 3
2025/1/8, 55, 21, 25, 8, 2, 2
2025/1/9, 36, 19, 19, 16, 2, 3
2025/1/10, 47, 25, 19, 25, 2, 4
2025/1/11, 65, 31, 20, 33, 3, 5
2025/1/12, 82, 45, 16, 35, 3, 6
2025/1/13, 108, 50, 25, 31, 4, 6
2025/1/14, 122, 25, 23, 12, 3, 3
2025/1/15, 44, 26, 14, 26, 3, 4
2025/1/16, 58, 42, 10, 31, 4, 6
2025/1/17, 92, 39, 10, 47, 4, 7
2025/1/18, 87, 37, 27, 38, 4, 7
2025/1/19, 92, 62, 31, 37, 4, 7
2025/1/20, 147, 74, 10, 50, 4, 9
2025/1/21, 171, 59, 20, 43, 4, 7
2025/1/22, 153, 42, 20, 38, 4, 6
2025/1/23, 114, 41, 18, 40, 4, 6
2025/1/24, 92, 25, 28, 27, 3, 5
2025/1/25, 60, 12, 30, 13, 2, 2
2025/1/26, 31, 33, 28, 9, 2, 3
2025/1/27, 60, 25, 30, 7, 2, 3
2025/1/28, 68, 24, 32, 6, 2, 3
2025/1/29, 66, 16, 28, 14, 2, 3
2025/1/30, 49, 30, 9, 37, 2, 5
2025/1/31, 78, 41, 22, 32, 3, 6
2025/2/1, 107, 38, 30, 24, 3, 5
2025/2/2, 93, 29, 31, 10, 3, 4
2025/2/3, 68, 18, 28, 8, 2, 2
2025/2/4, 44, 17, 29, 11, 2, 3
2025/2/5, 39, 19, 23, 19, 3, 3
2025/2/6, 48, 27, 31, 12, 2, 3
2025/2/7, 49, 21, 30, 10, 2, 3
2025/2/8, 44, 20, 31, 15, 3, 3
2025/2/9, 51, 22, 27, 25, 3, 4
2025/2/10, 61, 41, 21, 44, 3, 7
2025/2/11, 102, 37, 28, 34, 3, 5
2025/2/12, 91, 22, 28, 21, 3, 3
2025/2/13, 40, 49, 31, 35, 4, 5
2025/2/14, 95, 51, 36, 34, 4, 6
2025/2/15, 121, 51, 44, 29, 3, 5
2025/2/16, 121, 28, 31, 13, 3, 2
2025/2/17, 42, 22, 31, 12, 3, 2
2025/2/18, 41, 20, 30, 12, 3, 3
2025/2/19, 45, 22, 32, 14, 3, 3
2025/2/20, 47, 25, 30, 14, 3, 3
2025/2/21, 57, 26, 35, 11, 3, 3
2025/2/22, 63, 25, 36, 9, 3, 3
2025/2/23, 57, 25, 33, 17, 3, 3
2025/2/24, 56, 24, 37, 25, 3, 4
2025/2/25, 53, 47, 35, 22, 3, 4
2025/2/26, 90, 32, 37, 37, 4, 5
2025/2/27, 55, 44, 32, 52, 4, 7
2025/2/28, 93, 54, 18, 44, 3, 7
2025/3/1, 140, 40, 38, 24, 3, 5
2025/3/2, 103, 11, 36, 9, 2, 2
2025/3/3, 23, 10, 37, 13, 2, 2
2025/3/4, 21, 7, 29, 17, 2, 2
2025/3/5, 15, 37, 40, 18, 3, 4
2025/3/6, 81, 55, 46, 30, 4, 5
2025/3/7, 134, 46, 42, 27, 4, 4
2025/3/8, 115, 48, 43, 24, 3, 4
2025/3/9, 118, 56, 53, 29, 3, 5
2025/3/10, 144, 47, 43, 37, 3, 5
2025/3/11, 118, 39, 37, 28, 3, 4
2025/3/12, 91, 56, 32, 23, 3, 4
2025/3/13, 83, 48, 37, 29, 3, 4
2025/3/14, 67, 31, 41, 14, 3, 2
2025/3/15, 50, 30, 39, 9, 2, 2
2025/3/16, 64, 30, 40, 12, 3, 3
2025/3/17, 71, 27, 41, 18, 2, 3
2025/3/18, 73, 37, 43, 15, 3, 3
2025/3/19, 92, 43, 56, 20, 3, 4
2025/3/20, 99, 58, 57, 18, 4, 4
2025/3/21, 128, 58, 55, 22, 4, 5
2025/3/22, 133, 61, 76, 18, 4, 5
2025/3/23, 138, 63, 65, 17, 4, 4
2025/3/24, 135, 85, 58, 14, 3, 5
2025/3/25, 141, 71, 40, 31, 3, 5
2025/3/26, 72, 45, 51, 14, 3, 3
2025/3/27, 75, 32, 37, 10, 2, 3
2025/3/28, 63, 19, 37, 10, 3, 2
2025/3/29, 40, 19, 40, 9, 2, 2
2025/3/30, 36, 28, 48, 17, 3, 3
2025/3/31, 56, 47, 65, 20, 3, 4
2024/10/1, 26, 14, 32, 11, 2, 2
2024/10/2, 27, 16, 36, 16, 2, 2
2024/10/3, 34, 14, 35, 19, 2, 3
2024/10/4, 31, 21, 51, 22, 3, 3
2024/10/5, 46, 22, 16, 24, 2, 4
2024/10/6, 51, 33, 43, 21, 3, 4
2024/10/7, 72, 40, 36, 21, 3, 5
2024/10/8, 84, 14, 40, 13, 2, 3
2024/10/9, 32, 18, 40, 18, 3, 3
2024/10/10, 43, 29, 67, 23, 3, 4
2024/10/11, 67, 32, 50, 25, 3, 4
2024/10/12, 72, 26, 40, 19, 3, 4
2024/10/13, 65, 20, 19, 23, 3, 3
2024/10/14, 46, 17, 15, 22, 2, 3
2024/10/15, 44, 33, 36, 27, 3, 4
2024/10/16, 74, 35, 39, 26, 3, 4
2024/10/17, 73, 20, 12, 21, 3, 3
2024/10/18, 50, 10, 29, 10, 2, 2
2024/10/19, 19, 11, 30, 6, 2, 2
2024/10/20, 18, 11, 21, 13, 2, 2
2024/10/21, 18, 13, 23, 22, 2, 5
2024/10/22, 23, 13, 31, 8, 2, 3
2024/10/23, 24, 21, 34, 20, 2, 3
2024/10/24, 52, 28, 19, 33, 3, 5
2024/10/25, 60, 24, 29, 28, 3, 4
2024/10/26, 50, 22, 35, 15, 3, 3
2024/10/27, 51, 33, 23, 18, 3, 5
2024/10/28, 77, 14, 23, 22, 3, 3
2024/10/29, 30, 24, 40, 23, 3, 4
2024/10/30, 56, 32, 31, 33, 3, 5
2024/10/31, 69, 36, 17, 44, 4, 6
2024/11/1, 78, 31, 36, 25, 3, 4
2024/11/2, 72, 21, 44, 12, 3, 3
2024/11/3, 56, 21, 35, 11, 3, 2
2024/11/4, 47, 23, 23, 13, 3, 2
2024/11/5, 43, 24, 28, 16, 3, 3
2024/11/6, 53, 35, 21, 28, 3, 4
2024/11/7, 71, 32, 23, 39, 3, 5
2024/11/8, 73, 29, 29, 39, 3, 5
2024/11/9, 71, 22, 33, 27, 3, 4
2024/11/10, 56, 44, 31, 37, 4, 5
2024/11/11, 95, 33, 32, 20, 4, 4
2024/11/12, 79, 35, 33, 35, 4, 5
2024/11/13, 75, 34, 13, 36, 3, 5
2024/11/14, 66, 28, 25, 25, 3, 4
2024/11/15, 63, 21, 30, 16, 3, 3
2024/11/16, 53, 17, 27, 6, 3, 2
2024/11/17, 34, 16, 22, 14, 3, 2
2024/11/18, 28, 21, 14, 28, 3, 3
2024/11/19, 47, 35, 6, 37, 3, 5
2024/11/20, 77, 47, 27, 30, 4, 6
2024/11/21, 105, 29, 23, 17, 4, 3
2024/11/22, 64, 22, 25, 26, 3, 3
2024/11/23, 54, 15, 23, 23, 3, 3
2024/11/24, 41, 21, 24, 28, 2, 4
2024/11/25, 52, 10, 23, 11, 2, 2
2024/11/26, 19, 9, 22, 14, 2, 2
2024/11/27, 23, 16, 21, 15, 3, 3
2024/11/28, 46, 27, 16, 24, 3, 4
2024/11/29, 60, 23, 13, 29, 3, 5
2024/11/30, 59, 30, 9, 27, 3, 6
2024/12/1, 75, 36, 26, 26, 3, 6
2024/12/2, 79, 14, 23, 14, 3, 2
2024/12/3, 28, 18, 22, 21, 3, 3
2024/12/4, 40, 18, 22, 23, 3, 3
2024/12/5, 40, 21, 25, 14, 3, 2
2024/12/6, 35, 19, 25, 14, 3, 3
2024/12/7, 47, 19, 26, 11, 3, 3
2024/12/8, 47, 27, 13, 29, 3, 4
2024/12/9, 58, 34, 21, 31, 4, 5
2024/12/10, 80, 49, 17, 26, 5, 6
2024/12/11, 108, 31, 20, 20, 4, 4
2024/12/12, 69, 23, 23, 20, 4, 3
2024/12/13, 59, 24, 26, 15, 3, 4
2024/12/14, 56, 17, 28, 17, 3, 3
2024/12/15, 42, 24, 18, 31, 3, 4
2024/12/16, 58, 21, 22, 21, 3, 3
2024/12/17, 52, 27, 18, 15, 4, 3
2024/12/18, 55, 43, 9, 31, 5, 5
2024/12/19, 88, 48, 3, 46, 5, 8
2024/12/20, 106, 41, 25, 19, 3, 5
2024/12/21, 106, 16, 26, 10, 3, 2
2024/12/22, 37, 24, 23, 28, 4, 5
2024/12/23, 58, 27, 18, 27, 3, 4
2024/12/24, 63, 25, 23, 33, 4, 5
2024/12/25, 64, 49, 26, 16, 3, 4
2024/12/26, 93, 24, 26, 14, 3, 3
2024/12/27, 50, 25, 24, 12, 3, 3
2024/12/28, 52, 20, 20, 24, 3, 4
2024/12/29, 50, , , , , 
2024/7/1, 55, 17, 30, 15, 2, 3
2024/7/2, 45, 21, 53, 7, 2, 3
2024/7/3, 53, 32, 77, 9, 2, 4
2024/7/4, 94, 15, 50, 5, 2, 3
2024/7/5, 37, 24, 43, 14, 3, 3
2024/7/6, 62, 19, 51, 8, 2, 3
2024/7/7, 50, 11, 27, 12, 2, 2
2024/7/8, 27, 14, 30, 12, 2, 2
2024/7/9, 43, 11, 49, 11, 2, 2
2024/7/10, 29, 31, 76, 14, 3, 3
2024/7/11, 86, 32, 71, 19, 3, 4
2024/7/12, 84, 41, 84, 14, 3, 5
2024/7/13, 112, 28, 48, 8, 3, 3
2024/7/14, 81, 12, 52, 10, 2, 2
2024/7/15, 31, 14, 36, 13, 3, 2
2024/7/16, 44, 10, 19, 8, 2, 1
2024/7/17, 24, 9, 22, 9, 2, 2
2024/7/18, 19, 22, 49, 11, 3, 2
2024/7/19, 62, 15, 45, 8, 3, 2
2024/7/20, 46, 17, 44, 5, 2, 1
2024/7/21, 43, 14, 15, 9, 2, 1
2024/7/22, 30, 12, 17, 8, 2, 1
2024/7/23, 28, 13, 18, 8, 2, 1
2024/7/24, 31, 19, 36, 11, 3, 2
2024/7/25, 43, 14, 25, 13, 2, 2
2024/7/26, 37, 15, 23, 9, 2, 2
2024/7/27, 36, 16, 17, 5, 2, 1
2024/7/28, 35, 19, 33, 7, 2, 1
2024/7/29, 36, 21, 51, 8, 2, 1
2024/7/30, 49, 15, 29, 7, 2, 1
2024/7/31, 35, 16, 36, 8, 2, 1
2024/8/1, 35, 23, 44, 8, 2, 2
2024/8/2, 53, 27, 61, 9, 3, 3
2024/8/3, 78, 24, 94, 10, 3, 3
2024/8/4, 71, 28, 81, 14, 3, 3
2024/8/5, 82, 15, 56, 15, 3, 3
2024/8/6, 43, 17, 42, 13, 3, 2
2024/8/7, 50, 18, 42, 15, 3, 2
2024/8/8, 58, 23, 66, 15, 3, 2
2024/8/9, 66, 28, 85, 14, 3, 3
2024/8/10, 80, 24, 58, 8, 3, 2
2024/8/11, 72, 23, 66, 12, 3, 2
2024/8/12, 62, 24, 72, 14, 3, 2
2024/8/13, 62, 23, 94, 16, 2, 3
2024/8/14, 61, 22, 89, 13, 2, 3
2024/8/15, 62, 20, 75, 15, 3, 2
2024/8/16, 57, 22, 95, 13, 2, 3
