date, pm25, pm10, o3, no2, so2, co
2025/5/1, 54, 25, 36, 12, 3, 3
2025/5/2, 49, 17, 34, 15, 3, 3
2025/5/3, 39, 31, 46, 12, 3, 3
2025/5/4, 48, 27, 34, 14, 3, 4
2025/5/5, 51, 20, 37, 13, 3, 3
2025/5/6, 36, 31, 40, 19, 3, 4
2025/5/7, 52, 47, 52, 22, 3, 4
2025/5/8, 67, 65, 25, 27, 3, 4
2025/5/9, 75, , , , , 
2025/4/1, 98, 43, 39, 31, 4, 5
2025/4/2, 90, 32, 36, 19, 3, 4
2025/4/3, 80, 38, 43, 22, 3, 4
2025/4/4, 89, 22, 30, 18, 3, 4
2025/4/5, 57, 23, 40, 10, 3, 3
2025/4/6, 53, 47, 55, 19, 4, 4
2025/4/7, 80, 57, 50, 17, 3, 4
2025/4/8, 80, 45, 36, 31, 4, 5
2025/4/9, 74, 44, 39, 22, 4, 5
2025/4/10, 88, 51, 43, 31, 4, 7
2025/4/11, 111, 48, 41, 22, 4, 5
2025/4/12, 74, 30, 28, 7, 2, 3
2025/4/13, 36, 16, 28, 14, 2, 3
2025/4/14, 33, 23, 34, 18, 3, 4
2025/4/15, 50, 35, 53, 19, 3, 4
2025/4/16, 75, 53, 50, 14, 3, 3
2025/4/17, 77, 58, 47, 18, 4, 4
2025/4/18, 101, 33, 28, 14, 3, 4
2025/4/19, 73, 20, 43, 12, 3, 4
2025/4/20, 52, 25, 41, 20, 3, 4
2025/4/21, 56, 16, 20, 18, 3, 4
2025/4/22, 48, 15, 43, 16, 3, 3
2025/4/23, 26, 39, 43, 17, 4, 4
2025/4/24, 69, 49, 33, 12, 4, 3
2025/4/25, 74, 35, 39, 16, 4, 3
2025/4/26, 52, 27, 41, 14, 4, 3
2025/4/27, 37, 35, 39, 15, 3, 3
2025/4/28, 52, 39, 44, 18, 3, 4
2025/4/29, 73, 41, 47, 22, 4, 4
2025/4/30, 67, 29, 40, 14, 3, 3
2025/1/1, 66, 34, 21, 27, 3, 6
2025/1/2, 65, 20, 17, 16, 2, 4
2025/1/3, 52, 27, 17, 27, 3, 5
2025/1/4, 66, 26, 9, 35, 2, 6
2025/1/5, 75, 40, 20, 20, 2, 6
2025/1/6, 103, 24, 19, 13, 2, 4
2025/1/7, 52, 25, 19, 19, 2, 4
2025/1/8, 59, 25, 20, 7, 1, 3
2025/1/9, 35, 21, 15, 20, 3, 4
2025/1/10, 51, 26, 13, 33, 3, 6
2025/1/11, 70, 30, 16, 36, 3, 7
2025/1/12, 82, 41, 3, 45, 3, 9
2025/1/13, 105, 44, 24, 14, 4, 5
2025/1/14, 104, 28, 23, 9, 3, 3
2025/1/15, 41, 27, 17, 23, 3, 4
2025/1/16, 57, 45, 13, 28, 3, 6
2025/1/17, 97, 38, 15, 39, 4, 7
2025/1/18, 84, 39, 23, 36, 4, 7
2025/1/19, 99, 63, 27, 36, 4, 8
2025/1/20, 149, 75, 9, 46, 4, 10
2025/1/21, 170, 63, 17, 40, 4, 8
2025/1/22, 154, 42, 20, 35, 4, 7
2025/1/23, 100, 40, 15, 39, 4, 7
2025/1/24, 87, 18, 26, 20, 3, 4
2025/1/25, 41, 10, 25, 11, 3, 2
2025/1/26, 21, 34, 23, 8, 2, 3
2025/1/27, 51, 28, 23, 8, 2, 3
2025/1/28, 68, 27, 25, 8, 3, 3
2025/1/29, 67, 19, 22, 17, 3, 3
2025/1/30, 51, 28, 8, 36, 3, 5
2025/1/31, 72, 40, 18, 34, 3, 7
2025/2/1, 101, 35, 22, 27, 3, 6
2025/2/2, 81, 28, 26, 9, 3, 4
2025/2/3, 62, 19, 23, 9, 3, 3
2025/2/4, 42, 16, 25, 10, 3, 3
