date, pm25, pm10, o3, no2, so2, co
2025/5/1, 64, 22, 42, 10, 3, 3
2025/5/2, 53, 17, 40, 13, 2, 2
2025/5/3, 44, 30, 59, 12, 3, 3
2025/5/4, 52, 27, 40, 13, 3, 3
2025/5/5, 56, 19, 44, 13, 2, 2
2025/5/6, 43, 28, 47, 16, 3, 3
2025/5/7, 59, 40, 65, 18, 3, 3
2025/5/8, 67, 67, 32, 21, 3, 3
2025/5/9, 78, , , , , 
2025/4/1, 105, 47, 51, 31, 3, 4
2025/4/2, 96, 38, 46, 19, 2, 3
2025/4/3, 86, 41, 56, 25, 3, 4
2025/4/4, 92, 25, 38, 18, 2, 4
2025/4/5, 57, 23, 49, 10, 2, 3
2025/4/6, 55, 49, 72, 20, 3, 4
2025/4/7, 84, 55, 66, 14, 3, 4
2025/4/8, 87, 44, 45, 29, 4, 5
2025/4/9, 82, 47, 51, 17, 3, 4
2025/4/10, 99, 52, 55, 28, 4, 5
2025/4/11, 111, 38, 49, 24, 4, 4
2025/4/12, 81, 35, 34, 8, 2, 2
2025/4/13, 41, 17, 33, 13, 2, 3
2025/4/14, 42, 23, 41, 15, 3, 3
2025/4/15, 58, 38, 69, 19, 3, 4
2025/4/16, 78, 52, 65, 17, 3, 3
2025/4/17, 78, 58, 60, 20, 4, 4
2025/4/18, 95, 37, 37, 14, 3, 3
2025/4/19, 69, 19, 53, 10, 3, 3
2025/4/20, 51, 24, 51, 20, 3, 4
2025/4/21, 55, 17, 31, 16, 3, 4
2025/4/22, 42, 14, 52, 12, 3, 3
2025/4/23, 29, 37, 53, 15, 4, 3
2025/4/24, 75, 49, 40, 10, 3, 3
2025/4/25, 92, 34, 46, 16, 3, 3
2025/4/26, 58, 26, 47, 13, 3, 3
2025/4/27, 45, 32, 47, 13, 3, 3
2025/4/28, 59, 35, 46, 18, 3, 3
2025/4/29, 81, 39, 61, 21, 4, 4
2025/4/30, 76, 31, 42, 16, 3, 3
2025/1/1, 69, 31, 27, 23, 3, 5
2025/1/2, 67, 21, 23, 15, 3, 3
2025/1/3, 56, 29, 24, 24, 3, 4
2025/1/4, 70, 31, 10, 33, 2, 5
2025/1/5, 80, 43, 31, 16, 2, 5
2025/1/6, 106, 24, 25, 11, 3, 3
2025/1/7, 58, 24, 25, 16, 3, 4
2025/1/8, 59, 25, 26, 7, 2, 2
2025/1/9, 40, 20, 21, 19, 2, 4
2025/1/10, 55, 27, 19, 30, 2, 5
2025/1/11, 76, 33, 21, 30, 2, 6
2025/1/12, 92, 50, 10, 41, 3, 8
2025/1/13, 128, 54, 25, 33, 4, 7
2025/1/14, 137, 28, 23, 10, 3, 3
2025/1/15, 51, 29, 17, 25, 3, 4
2025/1/16, 65, 48, 15, 29, 4, 6
2025/1/17, 110, 41, 12, 44, 4, 8
2025/1/18, 92, 44, 24, 39, 4, 7
2025/1/19, 101, 71, 28, 40, 4, 9
2025/1/20, 157, 87, 8, 55, 5, 12
2025/1/21, 180, 67, 26, 38, 6, 8
2025/1/22, 159, 45, 22, 37, 4, 7
2025/1/23, 113, 39, 21, 39, 4, 7
2025/1/24, 94, 19, 31, 23, 4, 4
2025/1/25, 54, 10, 30, 13, 3, 3
2025/1/26, 32, 36, 28, 9, 2, 3
2025/1/27, 70, 31, 29, 5, 2, 3
2025/1/28, 77, 27, 30, 6, 2, 3
2025/1/29, 76, 18, 29, 13, 2, 3
2025/1/30, 57, 30, 10, 34, 2, 5
2025/1/31, 80, 42, 22, 32, 2, 6
2025/2/1, 113, 35, 29, 24, 3, 5
2025/2/2, 87, 28, 32, 8, 2, 3
2025/2/3, 72, 18, 28, 8, 2, 3
2025/2/4, 49, 15, 29, 9, 2, 3
2025/2/5, 45, 20, 27, 22, 2, 4
2025/2/6, 56, 27, 29, 12, 2, 3
2025/2/7, 57, 22, 29, 10, 2, 3
2025/2/8, 51, 23, 30, 16, 2, 4
2025/2/9, 62, 23, 26, 23, 2, 4
2025/2/10, 67, 41, 23, 43, 3, 7
2025/2/11, 104, 41, 29, 39, 3, 6
2025/2/12, 101, 28, 25, 20, 3, 4
2025/2/13, 47, 56, 27, 41, 4, 7
2025/2/14, 110, 58, 31, 35, 4, 7
2025/2/15, 132, 58, 41, 27, 4, 6
2025/2/16, 131, 33, 30, 10, 3, 2
2025/2/17, 47, 23, 30, 10, 2, 3
2025/2/18, 48, 25, 30, 11, 2, 3
2025/2/19, 53, 25, 30, 13, 2, 3
2025/2/20, 57, 28, 31, 12, 2, 3
2025/2/21, 64, 29, 32, 11, 2, 3
2025/2/22, 70, 30, 34, 8, 2, 3
2025/2/23, 64, 29, 31, 17, 3, 4
2025/2/24, 64, 29, 33, 28, 3, 5
2025/2/25, 65, 55, 33, 20, 3, 4
2025/2/26, 98, 36, 33, 39, 5, 6
2025/2/27, 56, 46, 27, 51, 5, 8
2025/2/28, 100, 56, 25, 43, 4, 7
2025/3/1, 142, 42, 39, 24, 3, 5
2025/3/2, 99, 12, 36, 6, 2, 2
2025/3/3, 24, 8, 35, 10, 2, 2
2025/3/4, 18, 6, 30, 15, 2, 3
2025/3/5, 17, 39, 41, 19, 3, 5
2025/3/6, 92, 59, 44, 30, 4, 6
2025/3/7, 147, 48, 43, 25, 4, 4
2025/3/8, 120, 45, 43, 22, 3, 4
2025/3/9, 110, 59, 50, 28, 3, 6
2025/3/10, 147, 52, 41, 33, 3, 5
2025/3/11, 127, 40, 35, 26, 3, 4
2025/3/12, 87, 63, 33, 21, 3, 4
2025/3/13, 94, 51, 40, 27, 4, 5
2025/3/14, 73, 34, 41, 12, 3, 2
2025/3/15, 56, 34, 39, 7, 2, 2
2025/3/16, 71, 36, 38, 11, 2, 3
2025/3/17, 79, 27, 43, 11, 2, 3
2025/3/18, 74, 43, 41, 14, 2, 3
2025/3/19, 105, 49, 51, 20, 3, 4
2025/3/20, 109, 66, 58, 20, 4, 5
2025/3/21, 141, 63, 53, 26, 5, 5
2025/3/22, 135, 65, 68, 22, 4, 5
2025/3/23, 139, 69, 59, 25, 5, 5
2025/3/24, 138, 96, 52, 16, 3, 5
2025/3/25, 147, 81, 38, 31, 4, 5
2025/3/26, 80, 53, 45, 16, 3, 3
2025/3/27, 82, 38, 37, 8, 3, 3
2025/3/28, 74, 22, 37, 9, 2, 2
2025/3/29, 44, 22, 39, 8, 2, 2
2025/3/30, 43, 32, 43, 21, 3, 3
2025/3/31, 62, 55, 61, 27, 3, 4
2024/10/1, 29, 12, 31, 8, 3, 2
2024/10/2, 27, 14, 34, 12, 3, 2
2024/10/3, 32, 13, 35, 16, 3, 3
2024/10/4, 35, 22, 46, 19, 3, 3
2024/10/5, 54, 18, 20, 18, 3, 4
2024/10/6, 52, 30, 41, 19, 4, 4
2024/10/7, 73, 32, 33, 18, 4, 5
2024/10/8, 72, 11, 38, 11, 3, 3
2024/10/9, 28, 16, 35, 15, 3, 3
2024/10/10, 41, 29, 63, 20, 4, 4
2024/10/11, 73, 32, 46, 21, 4, 4
2024/10/12, 77, 24, 37, 16, 4, 4
2024/10/13, 64, 18, 19, 19, 3, 3
2024/10/14, 47, 17, 18, 18, 4, 3
2024/10/15, 51, 29, 36, 28, 4, 4
2024/10/16, 75, 34, 37, 40, 5, 5
2024/10/17, 76, 20, 15, 20, 4, 4
2024/10/18, 51, 5, 32, 6, 3, 2
2024/10/19, 13, 9, 28, 5, 2, 2
2024/10/20, 15, 17, 20, 18, 3, 3
2024/10/21, 24, 11, 21, 23, 3, 4
2024/10/22, 28, 14, 30, 8, 3, 3
2024/10/23, 25, 23, 33, 19, 3, 4
