date, pm25, pm10, o3, no2, so2, co
2025/5/1, 59, 17, 42, 11, 3, 3
2025/5/2, 47, 13, 39, 13, 2, 2
2025/5/3, 40, 23, 57, 14, 3, 3
2025/5/4, 45, 20, 39, 13, 3, 3
2025/5/5, 51, 13, 46, 10, 3, 2
2025/5/6, 34, 21, 48, 15, 4, 3
2025/5/7, 54, 35, 64, 16, 3, 3
2025/5/8, 60, 55, 33, 20, 3, 3
2025/5/9, 73, , , , , 
2025/4/1, 106, 40, 51, 30, 4, 4
2025/4/2, 96, 30, 46, 18, 3, 3
2025/4/3, 83, 35, 53, 23, 3, 3
2025/4/4, 95, 21, 38, 19, 3, 4
2025/4/5, 61, 17, 50, 10, 3, 3
2025/4/6, 55, 40, 71, 21, 4, 4
2025/4/7, 84, 48, 69, 15, 3, 3
2025/4/8, 87, 40, 44, 32, 4, 5
2025/4/9, 81, 38, 57, 15, 3, 4
2025/4/10, 91, 44, 59, 28, 4, 5
2025/4/11, 105, 31, 45, 24, 4, 4
2025/4/12, 73, 27, 34, 8, 3, 2
2025/4/13, 29, 13, 32, 15, 3, 3
2025/4/14, 35, 19, 43, 15, 3, 3
2025/4/15, 51, 32, 66, 19, 4, 4
2025/4/16, 75, 43, 64, 18, 4, 4
2025/4/17, 72, 48, 63, 17, 4, 4
2025/4/18, 85, 31, 38, 16, 3, 3
2025/4/19, 66, 16, 57, 10, 3, 3
2025/4/20, 48, 19, 51, 19, 3, 4
2025/4/21, 48, 14, 31, 15, 3, 3
2025/4/22, 37, 11, 56, 11, 3, 3
2025/4/23, 22, 29, 53, 15, 4, 3
2025/4/24, 69, 40, 41, 10, 4, 3
2025/4/25, 82, 25, 44, 16, 4, 3
2025/4/26, 51, 17, 48, 12, 4, 2
2025/4/27, 37, 25, 51, 12, 3, 3
2025/4/28, 54, 29, 55, 17, 4, 3
2025/4/29, 76, 31, 56, 22, 4, 4
2025/4/30, 71, 26, 46, 16, 3, 3
2025/1/1, 66, 28, 26, 16, 4, 5
2025/1/2, 65, 18, 21, 12, 4, 3
2025/1/3, 50, 25, 21, 17, 4, 4
2025/1/4, 66, 36, 8, 24, 4, 6
2025/1/5, 91, 41, 32, 14, 3, 5
2025/1/6, 106, 22, 21, 13, 4, 3
2025/1/7, 54, 24, 21, 16, 4, 3
2025/1/8, 60, 22, 22, 6, 3, 2
